DateTime,AddedIPs,RemovedIPs
1613485722,43,0
1613487892,11,0
1613488602,0,3
1613489328,0,36
1613492962,44,39
1613493646,10,0
1613500844,44,0
1613501579,5,0
1613507052,42,93
1613508488,2,0
1613510649,6,0
1613515026,40,47
1613522444,38,52
1613523164,10,0
1613529405,49,86
1613536865,64,47
1613544048,51,34
1613546924,11,0
1613551411,28,35
1613553645,20,0
1613558703,31,34
1613565170,18,0
1613565901,42,0
1613570209,17,46
1613572607,27,0
1613578365,13,2
1613579082,0,56
1613580520,38,0
1613582687,15,0
1613586281,0,5
1613587022,0,45
1613587721,34,0
1613590604,17,6
1613594204,31,51
1613597803,19,0
1613602123,35,99
1613609320,26,0
1613616523,66,130
1613623724,72,47
1613630686,41,0
1613638129,36,24
1613645049,44,48
1613652725,43,42
1613658488,44,44
1613659926,7,0
1613666682,41,41
1613667901,5,0
1613669319,4,0
1613671492,1,0
1613672938,35,18
1613674370,5,31
1613675092,11,0
1613679400,0,13
1613681080,50,0
1613681833,6,37
1613686125,0,46
1613687083,41,0
1613688555,12,35
1613694520,32,0
1613695967,7,66
1613702212,43,0
1613702930,26,72
1613708649,63,0
1613712969,14,42
1613715848,29,0
1613717302,0,25
1613719448,9,0
1613723065,35,0
1613725224,20,28
1613730967,32,0
1613731700,0,30
1613732671,13,0
1613739392,57,35
1613740335,6,0
1613745612,33,8
1613747074,0,18
1613749206,17,0
1613752854,31,0
1613756406,14,32
1613758600,0,39
1613760728,42,0
1613762168,14,0
1613764354,0,5
1613765770,0,6
1613766734,0,33
1613767452,42,0
1613769846,9,0
1613772735,0,8
1613774171,26,0
1613775861,13,31
1613781129,0,25
1613781880,33,35
1613784247,11,0
1613787714,0,57
1613789799,59,0
1613792569,24,0
1613793415,0,24
1613794806,0,53
1613796313,47,0
1613799369,18,0
1613800858,0,15
1613804417,34,31
1613809450,9,6
1613810208,41,0
1613811916,0,18
1613813324,9,0
1613816921,0,9
1613818363,45,35
1613820524,13,0
1613821241,0,11
1613822691,0,38
1613825565,38,0
1613828452,18,0
1613830601,0,5
1613833492,39,30
1613834444,18,0
1613837323,0,11
1613839736,34,0
1613840462,0,31
1613842602,14,0
1613844122,1,0
1613845566,0,13
1613846201,0,47
1613846923,38,0
1613848364,19,0
1613852681,0,13
1613853403,0,43
1613854143,41,0
1613858448,12,0
1613859884,0,55
1613861320,37,0
1613862777,8,0
1613867653,0,29
1613869930,42,0
1613871524,3,0
1613872335,0,12
1613874488,0,45
1613875925,60,0
1613877398,17,0
1613881011,0,28
1613882439,0,49
1613883071,51,0
1613884600,14,0
1613889041,0,17
1613889851,28,0
1613890567,0,27
1613891357,0,9
1613892727,13,0
1613897563,31,0
1613899029,8,25
1613901936,0,5
1613905750,41,28
1613907164,11,0
1613910770,0,46
1613911730,26,0
1613914119,13,0
1613917030,0,8
1613918442,0,39
1613919159,31,0
1613920571,12,0
1613926360,15,17
1613927093,0,26
1613927813,38,0
1613931401,2,2
1613932364,0,4
1613934522,27,37
1613935238,23,0
1613936682,16,0
1613939805,28,12
1613941256,27,43
1613943403,7,0
1613945564,0,3
1613947005,0,52
1613950151,51,0
1613954004,3,0
1613956125,0,38
1613957806,52,0
1613959961,2,0
1613961647,0,68
1613963802,65,0
1613966693,11,0
1613968125,0,2
1613968845,0,78
1613971003,50,0
1613971724,13,0
1613975566,0,14
1613977722,30,25
1613979163,4,0
1613982043,0,14
1613984929,0,27
1613985641,31,0
1613987084,3,0
1613990684,0,49
1613992123,28,0
1613996477,0,16
1613997888,0,25
1614000765,81,0
1614004602,0,16
1614005325,0,34
1614006764,36,6
1614007487,7,0
1614014166,0,18
1614014887,47,0
1614015634,5,0
1614018731,0,32
1614020172,0,27
1614022326,49,33
1614024766,3,4
1614026927,0,5
1614028361,0,55
1614029115,40,0
1614030521,15,0
1614033646,0,8
1614035143,0,50
1614035798,32,0
1614036522,5,0
1614039884,3,0
1614044202,45,48
1614051135,71,81
1614058402,50,64
1614065800,42,54
1614072999,38,43
1614080200,43,19
1614087405,36,308
1614094600,41,46
1614101819,49,45
1614109480,41,46
1614116224,40,44
1614123404,42,56
1614130843,45,150
1614138043,93,47
1614145484,60,41
1614152931,44,39
1614160127,43,35
1614166851,36,36
1614174044,49,53
1614181247,54,31
1614189169,58,50
1614196370,66,40
1614203091,49,52
1614210287,28,51
1614217724,43,81
1614224922,85,63
1614232129,45,51
1614239323,37,0
1614246765,54,63
1614253966,35,35
1614261166,38,41
1614268364,51,49
1614275562,40,0
1614282762,50,48
1614289966,45,96
1614297892,38,38
1614305102,25,106
1614305801,24,0
1614310121,59,0
1614310839,43,0
1614312294,0,61
1614315902,40,0
1614318760,21,31
1614320924,16,0
1614328838,40,39
1614336038,44,31
1614343242,40,27
1614350207,36,34
1614357403,49,30
1614365319,71,49
1614372524,57,43
1614379720,49,51
1614386919,29,21
1614394123,67,0
1614401319,79,71
1614408041,46,156
1614415245,34,37
1614422442,51,51
1614429647,52,41
1614437084,34,49
1614444287,54,51
1614451483,52,0
1614458929,47,106
1614466125,49,48
1614473323,37,63
1614480762,67,86
1614488202,62,40
1614495434,50,34
1614502604,27,42
1614509803,42,42
1614516526,32,36
1614523722,40,31
1614530928,49,47
1614538849,59,63
1614546289,48,38
1614553718,45,43
1614560483,41,61
1614567648,65,80
1614574857,67,37
1614582304,35,26
1614589494,59,32
1614597406,39,37
1614604125,38,43
1614611323,37,29
1614619239,32,59
1614625963,55,46
1614628856,7,0
1614633399,35,44
1614640838,37,42
1614647559,47,71
1614655205,71,72
1614662409,67,36
1614669882,41,37
1614677085,34,29
1614684287,48,35
1614691481,40,44
1614699445,52,44
1614706141,46,32
1614713533,69,0
1614720729,39,101
1614727931,31,44
1614735370,38,218
1614742851,86,57
1614750035,65,32
1614757241,51,40
1614764437,42,41
1614771881,37,31
1614779079,32,48
1614786560,39,43
1614793923,42,43
1614800650,50,47
1614808086,34,47
1614815287,25,50
1614822488,46,78
1614829927,84,60
1614837132,66,32
1614844329,34,37
1614851769,57,29
1614859282,43,44
1614866448,40,26
1614873396,47,38
1614880907,36,46
1614888080,51,44
1614895256,41,41
1614902436,40,49
1614909155,4,86
1614909895,59,0
1614917565,85,61
1614924057,57,30
1614930757,37,34
1614937971,25,0
1614945398,37,34
1614952598,29,31
1614960243,40,84
1614967941,47,48
1614974822,54,57
1614982013,47,52
1614989397,47,5
1614996635,50,137
1615003688,82,0
1615010880,49,79
1615018034,37,32
1615025390,37,38
1615032525,53,31
1615039715,40,34
1615047177,39,40
1615054379,62,41
1615061729,50,58
1615068831,50,44
1615076756,33,46
1615083636,49,81
1615090866,86,50
1615098042,40,28
1615105041,29,36
1615112840,51,36
1615119679,41,35
1615126862,39,49
1615134521,36,37
1615141759,56,39
1615148500,50,57
1615156165,47,50
1615163049,34,0
1615171074,54,129
1615178023,77,43
1615185160,47,35
1615192491,57,34
1615199314,76,40
1615206804,37,36
1615214395,39,33
1615221663,43,36
1615228826,40,55
1615236275,36,53
1615243477,42,53
1615250675,35,58
1615258120,71,76
1615265311,78,39
1615272513,41,33
1615274676,21,0
1615281878,43,30
1615289165,31,43
1615296276,42,37
1615303715,38,42
1615311159,42,37
1615318355,39,52
1615325558,44,42
1615332754,36,30
1615339958,47,66
1615347158,72,71
1615354837,60,48
1615362038,30,39
1615369235,35,42
1615371400,18,0
1615372841,17,0
1615380036,41,28
1615387266,29,38
1615394435,37,40
1615399488,10,41
1615401638,41,0
1615408364,9,42
1615409082,36,0
1615416279,44,41
1615423690,38,74
1615430887,79,102
1615438089,76,63
1615445287,33,32
1615452489,51,54
1615456851,0,11
1615458967,37,10
1615462806,0,39
1615466406,38,0
1615473609,38,46
1615480809,34,39
1615488970,43,56
1615489687,9,0
1615495452,27,33
1615502657,35,31
1615510086,39,51
1615512254,17,74
1615517318,39,81
1615523081,68,0
1615530280,56,49
1615537483,62,29
1615544683,34,34
1615552604,44,49
1615559802,33,39
1615567002,42,28
1615574203,43,45
1615581405,41,49
1615588603,39,37
1615595803,31,36
1615603722,54,125
1615610918,64,56
1615618118,34,46
1615625324,43,32
1615632517,47,35
1615639699,34,33
1615646901,48,54
1615654100,50,53
1615661300,49,39
1615668498,63,41
1615675705,39,42
1615683378,50,64
1615690578,72,76
1615697776,84,30
1615704975,44,35
1615712178,35,37
1615719379,47,39
1615726841,42,30
1615733767,44,42
1615740980,46,39
1615747937,43,42
1615755140,45,45
1615759467,32,0
1615766667,41,56
1615774098,54,67
1615781297,94,67
1615788504,69,32
1615795937,45,23
1615803141,41,29
1615810338,43,43
1615817537,36,34
1615824738,48,41
1615832200,33,48
1615839379,37,41
1615846577,46,94
1615854017,39,68
1615860979,45,91
1615868906,71,52
1615876098,53,42
1615883298,38,45
1615890500,44,37
1615897699,40,35
1615904901,38,52
1615912099,63,32
1615919326,42,52
1615927220,46,49
1615934421,43,55
1615941619,34,61
1615948819,45,85
1615956019,89,48
1615963220,49,41
1615970418,35,29
1615977620,40,29
