DateTime,Entries,UniqueIPs
1615121445,1945,1945
1615122995,1965,1965
1615124080,1961,1961
1615127143,1981,1981
1615127683,1969,1969
1615130090,1951,1951
1615132249,1956,1956
1615134101,1955,1955
1615135843,1947,1947
1615137475,1959,1959
1615138481,1959,1959
1615141542,1995,1995
1615144171,2029,2029
1615145681,2036,2036
1615147489,2049,2049
1615148742,2063,2063
1615149283,2053,2053
1615151376,2047,2047
1615153856,2050,2050
1615155058,2055,2055
1615156485,2047,2047
1615158384,2026,2026
1615160085,2030,2030
1615161203,2032,2032
1615163145,2038,2038
1615163680,2032,2032
1615165610,2033,2033
1615167287,2032,2032
1615170345,2023,2023
1615171845,2018,2018
1615173340,2018,2018
1615175389,2019,2019
1615176759,2012,2012
1615178091,2003,2003
1615181601,1970,1970
1615184006,1954,1954
1615191253,1946,1946
1615192490,1935,1935
1615194435,1937,1937
1615195547,1944,1944
1615196089,1938,1938
1615198356,1935,1935
1615199705,1926,1926
1615201259,1914,1914
1615202765,1919,1919
1615203284,1903,1903
1615205911,1897,1897
1615206887,1886,1886
1615208269,1883,1883
1615210484,1876,1876
1615212401,1878,1878
1615213524,1884,1884
1615214090,1868,1868
1615215335,1884,1884
1615217146,1873,1873
1615217689,1871,1871
1615221294,1876,1876
1615222966,1867,1867
1615224349,1873,1873
1615224887,1863,1863
1615227890,1862,1862
1615228487,1857,1857
1615230151,1854,1854
1615232087,1850,1850
1615234691,1853,1853
1615235662,1847,1847
1615239293,1842,1842
1615240618,1843,1843
1615241859,1842,1842
1615243847,1843,1843
1615245953,1915,1915
1615246490,1889,1889
1615250090,1873,1873
1615253688,1856,1856
1615254827,1859,1859
1615256034,1860,1860
1615257302,1855,1855
1615260869,1840,1840
1615263908,1851,1851
1615264490,1830,1830
1615266906,1822,1822
1615268092,1814,1814
1615271690,1829,1829
1615272982,1826,1826
1615274106,1781,1781
1615275287,1760,1760
1615276430,1755,1755
1615278130,1750,1750
1615279847,1737,1737
1615281569,1715,1715
1615282486,1699,1699
1615285547,1691,1691
1615286087,1676,1676
1615288297,1690,1690
1615290034,1677,1677
1615291487,1677,1677
1615292751,1689,1689
1615293294,1667,1667
1615295191,1654,1654
1615296351,1663,1663
1615296887,1661,1661
1615298567,1660,1660
1615299896,1664,1664
1615301445,1670,1670
1615302579,1665,1665
1615304091,1656,1656
1615305816,1662,1662
1615307148,1669,1669
1615307690,1647,1647
1615310212,1625,1625
1615311709,1583,1583
1615313303,1569,1569
1615314894,1551,1551
1615316654,1528,1528
1615317799,1542,1542
1615318483,1526,1526
1615319638,1536,1536
1615321420,1548,1548
1615322092,1545,1545
1615324306,1544,1544
1615325695,1538,1538
1615329296,1546,1546
1615332359,1543,1543
1615332890,1531,1531
1615335028,1524,1524
1615336490,1520,1520
1615338470,1511,1511
1615340091,1509,1509
1615341276,1508,1508
1615342847,1500,1500
1615343686,1486,1486
1615345624,1499,1499
1615347295,1537,1537
1615349377,1547,1547
1615350893,1562,1562
1615353054,1560,1560
1615354855,1555,1555
1615356210,1553,1553
1615357544,1555,1555
1615358089,1549,1549
1615361136,1601,1601
1615361684,1614,1614
1615364748,1620,1620
1615365287,1611,1611
1615367058,1612,1612
1615368349,1619,1619
1615369462,1621,1621
1615370643,1617,1617
1615372493,1617,1617
1615375544,1629,1629
1615376087,1616,1616
1615377773,1618,1618
1615379150,1628,1628
1615379690,1627,1627
1615381672,1669,1669
1615383831,1649,1649
1615385642,1641,1641
1615386891,1626,1626
1615390481,1657,1657
1615391797,1672,1672
1615393573,1697,1697
1615394093,1690,1690
1615395550,1696,1696
1615397066,1716,1716
1615397690,1718,1718
1615399699,1733,1733
1615401287,1736,1736
1615402478,1757,1757
1615404349,1777,1777
1615405671,1771,1771
1615407946,1784,1784
1615408481,1788,1788
1615410020,1796,1796
1615412086,1811,1811
1615415688,1760,1760
1615417463,1759,1759
1615418756,1766,1766
1615419290,1759,1759
1615420489,1771,1771
1615422883,1786,1786
1615425947,1804,1804
1615426486,1803,1803
1615429559,1833,1833
1615430093,1833,1833
1615432732,1836,1836
1615436102,1833,1833
1615437289,1821,1821
1615440888,1828,1828
1615442591,1819,1819
1615443945,1834,1834
1615444491,1835,1835
1615447547,1854,1854
1615449049,1857,1857
1615450697,1870,1870
1615451693,1868,1868
1615454750,1886,1886
1615455284,1879,1879
1615456460,1883,1883
1615458348,1885,1885
1615458892,1878,1878
1615460005,1885,1885
1615461181,1886,1886
1615462493,1895,1895
1615464649,1917,1917
1615466089,1936,1936
1615467415,1955,1955
1615469149,1984,1984
1615469688,1989,1989
1615471829,1994,1994
1615473288,1992,1992
1615475936,2000,2000
1615476890,1992,1992
1615479950,2007,2007
1615481438,2005,2005
1615484088,2004,2004
1615486410,2025,2025
1615487683,2049,2049
1615488865,2068,2068
1615490754,2092,2092
1615491287,2092,2092
1615492475,2112,2112
1615494346,2147,2147
1615494886,2139,2139
1615496725,2152,2152
1615498487,2172,2172
1615499601,2183,2183
1615501554,2205,2205
1615502089,2203,2203
1615505671,2218,2218
1615506866,2224,2224
1615508733,2237,2237
1615509289,2241,2241
1615512889,2255,2255
1615514120,2274,2274
1615515952,2290,2290
1615519549,2246,2246
1615520091,2231,2231
1615521388,2238,2238
1615523152,2254,2254
1615523692,2252,2252
1615526755,2295,2295
1615528772,2304,2304
1615530350,2330,2330
1615530876,2301,2301
1615533323,2347,2347
1615534781,2374,2374
1615536235,2396,2396
1615537550,2421,2421
1615539052,2423,2423
1615540365,2426,2426
1615541692,2437,2437
1615543480,2433,2433
1615545285,2447,2447
1615546680,2462,2462
1615548252,2469,2469
1615548887,2460,2460
1615550601,2390,2390
1615551946,2401,2401
1615553103,2385,2385
1615556081,2382,2382
1615557564,2376,2376
1615559147,2382,2382
1615560651,2358,2358
1615563288,2339,2339
1615565182,2337,2337
1615566893,2333,2333
1615570490,2332,2332
1615572440,2273,2273
1615573547,2286,2286
1615574092,2269,2269
1615575210,2282,2282
1615577149,2294,2294
1615577691,2290,2290
1615579694,2300,2300
1615581285,2303,2303
1615584892,2315,2315
1615586945,2320,2320
1615588491,2323,2323
1615592096,2326,2326
1615594195,2335,2335
1615596519,2325,2325
1615598603,2347,2347
1615599294,2351,2351
1615601511,2356,2356
1615602887,2353,2353
1615604283,2356,2356
1615605950,2360,2360
1615607135,2347,2347
1615608357,2339,2339
1615610093,2330,2330
1615612912,2323,2323
1615613698,2312,2312
1615615977,2316,2316
1615617290,2322,2322
1615618631,2330,2330
1615619843,2326,2326
1615621851,2325,2325
1615623236,2331,2331
1615624491,2331,2331
1615626163,2327,2327
1615627547,2336,2336
1615628083,2330,2330
1615629954,2321,2321
1615631695,2321,2321
1615634753,2326,2326
1615635291,2303,2303
1615636437,2301,2301
1615637710,2296,2296
1615638888,2276,2276
1615641177,2274,2274
1615642486,2274,2274
1615643782,2271,2271
1615644984,2268,2268
1615646730,2258,2258
1615649145,2318,2318
1615649685,2323,2323
1615652257,2349,2349
1615653571,2347,2347
1615656332,2354,2354
1615656890,2336,2336
1615659348,2323,2323
1615660492,2319,2319
1615664088,2300,2300
1615665266,2309,2309
1615666760,2301,2301
1615667686,2302,2302
1615670089,2294,2294
1615671710,2282,2282
1615674013,2288,2288
1615675852,2290,2290
1615677951,2297,2297
1615679106,2293,2293
1615681276,2304,2304
1615682089,2286,2286
1615685683,2247,2247
1615688547,2235,2235
1615690142,2228,2228
1615691820,2239,2239
1615693848,2223,2223
1615696505,2191,2191
1615700093,2163,2163
1615701414,2161,2161
1615706583,2066,2066
1615707289,2046,2046
1615708465,2045,2045
1615710376,2044,2044
1615710887,1978,1978
1615713949,1992,1992
1615715450,1958,1958
1615717444,1949,1949
1615718997,1922,1922
1615720441,1919,1919
1615721693,1916,1916
1615725287,1907,1907
1615726540,1909,1909
1615728162,1898,1898
1615728891,1890,1890
1615732490,1893,1893
1615733811,1888,1888
1615735007,1885,1885
1615736088,1873,1873
1615739153,1865,1865
1615739688,1856,1856
1615741471,1853,1853
1615742760,1865,1865
1615743284,1850,1850
1615746350,1854,1854
1615746885,1853,1853
1615748877,1854,1854
1615751447,1859,1859
1615753146,1866,1866
1615755050,1854,1854
1615756268,1857,1857
1615757695,1863,1863
1615760454,1873,1873
1615761292,1866,1866
1615764351,1865,1865
1615764890,1857,1857
1615767222,1839,1839
1615768488,1809,1809
1615770415,1798,1798
1615771550,1805,1805
1615773053,1802,1802
1615774235,1787,1787
1615775471,1772,1772
1615776647,1777,1777
1615778735,1780,1780
1615779843,1772,1772
1615781915,1772,1772
1615782896,1764,1764
1615784682,1751,1751
1615785955,1756,1756
1615786489,1749,1749
1615788473,1741,1741
1615790083,1744,1744
1615791945,1738,1738
1615793146,1744,1744
1615794354,1734,1734
1615796748,1733,1733
1615797294,1724,1724
1615799378,1721,1721
1615800880,1716,1716
1615803937,1700,1700
1615804492,1674,1674
1615805974,1679,1679
1615807546,1688,1688
1615808092,1678,1678
1615811686,1667,1667
1615812865,1668,1668
1615814058,1665,1665
1615815291,1659,1659
1615817553,1658,1658
1615818884,1588,1588
1615820186,1572,1572
1615821949,1551,1551
1615823451,1539,1539
1615824627,1535,1535
1615826083,1531,1531
1615829687,1516,1516
1615832236,1513,1513
1615833287,1500,1500
1615835417,1487,1487
1615836893,1489,1489
1615838222,1489,1489
1615839543,1484,1484
1615840492,1483,1483
1615843562,1477,1477
1615844092,1456,1456
1615847691,1429,1429
1615849872,1452,1452
1615854352,1459,1459
1615854893,1454,1454
1615857953,1447,1447
1615861557,1427,1427
1615862092,1409,1409
1615864795,1417,1417
1615866653,1446,1446
1615868073,1463,1463
1615869298,1456,1456
1615872351,1451,1451
1615875529,1441,1441
1615876485,1428,1428
1615878414,1417,1417
1615879553,1420,1420
1615880869,1401,1401
1615882609,1395,1395
1615883709,1379,1379
1615885024,1377,1377
1615886749,1376,1376
1615887289,1362,1362
1615890351,1353,1353
1615890889,1336,1336
1615892790,1326,1326
1615893948,1332,1332
1615894493,1327,1327
1615897547,1314,1314
1615899044,1307,1307
1615900734,1295,1295
1615901690,1263,1263
1615904077,1270,1270
1615905285,1262,1262
1615907072,1251,1251
1615908346,1266,1266
1615910873,1240,1240
1615912493,1227,1227
1615914873,1219,1219
1615916092,1204,1204
1615917901,1186,1186
1615919151,1187,1187
1615920658,1144,1144
1615921906,1115,1115
1615923267,1100,1100
1615925283,1079,1079
1615926896,1063,1063
1615929952,1054,1054
1615930487,1030,1030
1615932671,996,996
1615938638,958,958
1615940184,955,955
1615941287,943,943
1615943610,990,990
1615945856,972,972
1615947954,967,967
1615948476,957,957
1615949628,958,958
1615951545,960,960
1615952092,955,955
1615955151,956,956
1615956542,950,950
1615958757,945,945
1615959288,929,929
1615961261,927,927
1615963848,941,941
1615966490,958,958
1615967717,972,972
1615969557,990,990
1615970129,991,991
1615973105,988,988
1615974651,994,994
1615978379,977,977
