DateTime,Entries,UniqueIPs
1614124807,2220,2220
1614128442,2233,2233
1614132041,2254,2254
1614135634,2276,2276
1614139215,2280,2280
1614142822,2301,2301
1614146432,2322,2322
1614150016,2338,2338
1614153642,2355,2355
1614157235,2369,2369
1614160808,2383,2383
1614164433,2391,2391
1614168007,2406,2406
1614171618,2422,2422
1614175216,2436,2436
1614178829,2446,2446
1614182412,2453,2453
1614186038,2465,2465
1614189642,2479,2479
1614193225,2489,2489
1614196824,2508,2508
1614200427,2522,2522
1614204017,2550,2550
1614207632,2545,2545
1614211211,2551,2551
1614214841,2560,2560
1614218407,2569,2569
1614222025,2585,2585
1614225641,2602,2602
1614229224,2621,2621
1614232834,2637,2637
1614236414,2656,2656
1614240042,2665,2665
1614243631,2675,2675
1614247208,2685,2685
1614250826,2695,2695
1614254435,2708,2708
1614258043,2719,2719
1614261621,2730,2730
1614265231,2738,2738
1614268823,2747,2747
1614272440,2759,2759
1614276009,2778,2778
1614279619,2793,2793
1614283232,2812,2812
1614286839,2829,2829
1614290424,2842,2842
1614294017,2852,2852
1614297626,2853,2853
1614301208,2845,2845
1614304829,2840,2840
1614308436,2840,2840
1614312031,2834,2834
1614315630,2831,2831
1614319219,2830,2830
1614322806,2828,2828
1614326433,2825,2825
1614330037,2823,2823
1614333637,2817,2817
1614337218,2814,2814
1614340841,2805,2805
1614344439,2803,2803
1614348032,2800,2800
1614351632,2799,2799
1614355214,2798,2798
1614358822,2796,2796
1614362440,2796,2796
1614366037,2792,2792
1614369638,2794,2794
1614373215,2790,2790
1614376842,2780,2780
1614380411,2752,2752
1614384033,2719,2719
1614387629,2692,2692
1614391238,2661,2661
1614394808,2632,2632
1614398418,2602,2602
1614402027,2586,2586
1614405608,2576,2576
1614409241,2559,2559
1614412809,2547,2547
1614416440,2537,2537
1614420023,2526,2526
1614423625,2515,2515
1614427208,2499,2499
1614430842,2487,2487
1614434438,2478,2478
1614438039,2470,2470
1614441640,2454,2454
1614445240,2437,2437
1614448831,2424,2424
1614452422,2410,2410
1614456038,2393,2393
1614459633,2374,2374
1614463237,2348,2348
1614466839,2339,2339
1614470416,2335,2335
1614474037,2349,2349
1614477619,2349,2349
1614481241,2351,2351
1614484808,2345,2345
1614488433,2342,2342
1614492023,2330,2330
1614495634,2308,2308
1614499232,2301,2301
1614502838,2305,2305
1614506419,2310,2310
1614510041,2315,2315
1614513615,2310,2310
1614517241,2313,2313
1614520820,2321,2321
1614524407,2333,2333
1614528012,2356,2356
1614531632,2368,2368
1614535238,2370,2370
1614538831,2384,2384
1614542432,2393,2393
1614546038,2398,2398
1614549631,2401,2401
1614553229,2387,2387
1614556822,2367,2367
1614560430,2356,2356
1614564039,2355,2355
1614567627,2356,2356
1614571230,2346,2346
1614574807,2310,2310
1614578440,2287,2287
1614582041,2265,2265
1614585642,2257,2257
1614589235,2245,2245
1614592808,2225,2225
1614596441,2210,2210
1614600007,2185,2185
1614603642,2181,2181
1614607224,2166,2166
1614610840,2154,2154
1614614420,2139,2139
1614618012,2133,2133
1614621628,2127,2127
1614625212,2106,2106
1614628836,2101,2101
1614632428,2074,2074
1614636033,2068,2068
1614639628,2057,2057
1614643234,2060,2060
1614646818,2062,2062
1614650437,2067,2067
1614654015,2061,2061
1614657637,2046,2046
1614661240,2029,2029
1614664807,2017,2017
1614668407,2007,2007
1614672007,2015,2015
1614675641,2016,2016
1614679210,2005,2005
1614682831,2010,2010
1614686420,2011,2011
1614690010,2011,2011
1614693623,2014,2014
1614697240,2016,2016
1614700839,2007,2007
1614704407,1997,1997
1614708041,1996,1996
1614711641,1999,1999
1614715232,1992,1992
1614718808,1975,1975
1614722440,1965,1965
1614726029,1974,1974
1614729641,1955,1955
1614733211,1939,1939
1614736826,1920,1920
1614740437,1903,1903
1614744039,1910,1910
1614747640,1907,1907
1614751240,1896,1896
1614754812,1888,1888
1614758441,1877,1877
1614762018,1867,1867
1614765641,1861,1861
1614769226,1852,1852
1614772820,1846,1846
1614776439,1827,1827
1614780041,1818,1818
1614783640,1816,1816
1614787225,1820,1820
1614790840,1817,1817
1614794423,1810,1810
1614798040,1810,1810
1614801607,1793,1793
1614805227,1786,1786
1614808840,1757,1757
1614812418,1772,1772
1614816031,1780,1780
1614819617,1782,1782
1614823240,1763,1763
1614826819,1758,1758
1614830423,1750,1750
1614834017,1731,1731
1614837640,1718,1718
1614841226,1709,1709
1614844822,1706,1706
1614848409,1700,1700
1614852020,1695,1695
1614855640,1693,1693
1614859234,1684,1684
1614862823,1681,1681
1614866427,1682,1682
1614870007,1675,1675
1614873642,1669,1669
1614877236,1675,1675
1614880832,1672,1672
1614884441,1665,1665
1614888038,1654,1654
1614891631,1664,1664
1614895229,1663,1663
1614898807,1655,1655
1614902429,1654,1654
1614906041,1658,1658
1614909629,1666,1666
1614913226,1675,1675
1614916840,1685,1685
1614920426,1699,1699
1614924035,1707,1707
1614927633,1725,1725
1614931230,1738,1738
1614934815,1743,1743
1614938441,1750,1750
1614942024,1756,1756
1614945632,1765,1765
1614949235,1769,1769
1614952811,1773,1773
1614956431,1777,1777
1614960014,1791,1791
1614963607,1798,1798
1614967239,1810,1810
1614970831,1819,1819
1614974438,1823,1823
1614978031,1822,1822
1614981631,1828,1828
1614985240,1835,1835
1614988826,1854,1854
1614992424,1867,1867
1614996038,1882,1882
1614999627,1892,1892
1615003228,1902,1902
1615006829,1914,1914
1615010439,1917,1917
1615014027,1938,1938
1615017627,1946,1946
1615021223,1961,1961
1615024823,1966,1966
1615028440,1969,1969
1615032032,1972,1972
1615035606,1976,1976
1615039207,1977,1977
1615042839,1978,1978
1615046439,1983,1983
1615050029,1983,1983
1615053623,1981,1981
1615057240,1979,1979
1615060826,1976,1976
1615064440,1972,1972
1615068041,1973,1973
1615071640,1967,1967
1615075241,1961,1961
1615078829,1943,1943
1615082421,1931,1931
1615086024,1927,1927
1615089619,1915,1915
1615093219,1908,1908
1615096832,1907,1907
1615100414,1904,1904
1615104032,1906,1906
1615107641,1893,1893
1615111232,1874,1874
1615114832,1863,1863
1615118441,1864,1864
1615122032,1865,1865
1615125631,1855,1855
1615129209,1845,1845
1615132815,1815,1815
1615136417,1799,1799
1615140026,1793,1793
1615143642,1777,1777
1615147224,1766,1766
1615150825,1758,1758
1615154442,1743,1743
1615158033,1735,1735
1615161643,1728,1728
1615165220,1725,1725
1615168843,1711,1711
1615172421,1696,1696
1615176023,1680,1680
1615179616,1686,1686
1615183235,1690,1690
1615186832,1691,1691
1615190443,1690,1690
1615194042,1679,1679
