DateTime,Entries,UniqueIPs
1614052812,1067,1067
1614056409,1066,1066
1614060007,1065,1065
1614063634,1065,1065
1614067232,1065,1065
1614070833,1067,1067
1614074433,1065,1065
1614078009,1066,1066
1614081606,1066,1066
1614085207,1066,1066
1614088813,1067,1067
1614092410,1071,1071
1614099609,1116,1116
1614103209,1075,1075
1614106826,1074,1074
1614110441,1054,1054
1614114021,1053,1053
1614117607,1054,1054
1614121232,1052,1052
1614124813,1052,1052
1614128439,1049,1049
1614132007,1053,1053
1614135635,1054,1054
1614142814,1052,1052
1614146432,1053,1053
1614150034,1053,1053
1614157207,1053,1053
1614160834,1053,1053
1614164409,1055,1055
1614168012,1053,1053
1614171636,1051,1051
1614175233,1050,1050
1614178807,1051,1051
1614182423,1050,1050
1614186013,1047,1047
1614189617,1045,1045
1614193219,1042,1042
1614196807,1002,1002
1614200427,999,999
1614204025,1000,1000
1614207641,1000,1000
1614211207,1006,1006
1614214811,1054,1054
1614222037,1054,1054
1614225624,1058,1058
1614229239,1060,1060
1614232838,1060,1060
1614236436,1061,1061
1614243640,1061,1061
1614247240,1065,1065
1614250840,1066,1066
1614254407,1067,1067
1614258018,1065,1065
1614261613,1063,1063
1614265208,1063,1063
1614268837,1063,1063
1614272439,1064,1064
1614279637,1066,1066
1614283218,1069,1069
1614286815,1066,1066
1614290407,1072,1072
1614294015,1079,1079
1614297640,1082,1082
1614301210,1083,1083
1614304841,1083,1083
1614308433,1081,1081
1614312041,1046,1046
1614315640,1088,1088
1614319239,1087,1087
1614322812,1089,1089
1614326440,1086,1086
1614330013,1084,1084
1614333608,1085,1085
1614337206,1079,1079
1614340839,1071,1071
1614344438,1061,1061
1614348027,1049,1049
1614351641,1020,1020
1614355234,1007,1007
1614358835,1011,1011
1614362429,1010,1010
1614369613,1012,1012
1614376839,1014,1014
1614380428,1012,1012
1614384022,1024,1024
1614387638,1020,1020
1614391238,1020,1020
1614394822,1022,1022
1614398438,1022,1022
1614402013,1021,1021
1614405615,1026,1026
1614409216,1026,1026
1614412829,1027,1027
1614416425,1027,1027
1614420008,1026,1026
1614423622,1028,1028
1614427218,1029,1029
1614434435,1031,1031
1614438037,1034,1034
1614441637,1033,1033
1614445213,1037,1037
1614448841,1038,1038
1614456031,1040,1040
1614459618,1043,1043
1614463223,1044,1044
1614466808,1046,1046
1614470408,1119,1119
1614474013,1101,1101
1614477637,1101,1101
1614481211,1100,1100
1614488431,1099,1099
1614492020,1100,1100
1614495606,1104,1104
1614499241,1105,1105
1614502838,1106,1106
1614506412,1107,1107
1614510040,1107,1107
1614513636,1108,1108
1614517241,1109,1109
1614520811,1108,1108
1614524441,1108,1108
1614531640,1107,1107
1614535216,1108,1108
1614538829,1109,1109
1614542432,1111,1111
1614546011,1117,1117
1614549639,1145,1145
1614553220,1145,1145
1614556833,1143,1143
1614560406,1143,1143
1614564034,1144,1144
1614567611,1143,1143
1614571240,1141,1141
1614574807,1211,1211
1614582017,1210,1210
1614585640,1211,1211
1614589218,1209,1209
1614592811,1209,1209
1614596414,1211,1211
1614600020,1214,1214
1614603631,1268,1268
1614607237,1256,1256
1614610806,1275,1275
1614614434,1281,1281
1614618030,1283,1283
1614621635,1286,1286
1614625207,1285,1285
1614628807,1286,1286
1614632435,1289,1289
1614636011,1290,1290
1614639637,1291,1291
1614643212,1295,1295
1614654014,1295,1295
1614661228,1295,1295
1614664833,1299,1299
1614668409,1343,1343
1614672013,1355,1355
1614675623,1355,1355
1614679212,1354,1354
1614686407,1353,1353
1614690032,1356,1356
1614693628,1360,1360
1614697206,1360,1360
1614700837,1359,1359
1614704413,1292,1292
1614708041,1292,1292
1614711629,1292,1292
1614715212,1293,1293
1614718813,1297,1297
1614722425,1296,1296
1614726021,1298,1298
1614729618,1301,1301
1614733221,1302,1302
1614736824,1302,1302
1614740427,1300,1300
1614744022,1301,1301
1614747614,1304,1304
1614751207,1302,1302
1614754822,1302,1302
