DateTime,Entries,UniqueIPs
1614205874,6307,6307
1614209476,6314,6314
1614213081,6340,6340
1614214869,6314,6314
1614216667,6372,6372
1614218490,6373,6373
1614220268,6364,6364
1614223880,6366,6366
1614229266,6338,6338
1614234689,6354,6354
1614236468,6334,6334
1614238298,6333,6333
1614241957,6347,6347
1614245475,6353,6353
1614249072,6365,6365
1614252668,6355,6355
1614256295,6351,6351
1614261689,6357,6357
1614263471,6351,6351
1614267079,6343,6343
1614270693,6337,6337
1614272578,6342,6342
1614277868,6328,6328
1614281469,6316,6316
1614283268,6320,6320
1614288675,6317,6317
1614294082,6315,6315
1614295894,6322,6322
1614299475,6342,6342
1614303068,6367,6367
1614306684,6365,6365
1614310275,6356,6356
1614313871,6348,6348
1614317499,6336,6336
1614319267,6348,6348
1614324669,6342,6342
1614328290,6342,6342
1614331898,6342,6342
1614335492,6349,6349
1614339070,6344,6344
1614342677,6343,6343
1614348090,6351,6351
1614351677,6340,6340
1614357084,6336,6336
1614360672,6338,6338
1614364276,6362,6362
1614369668,6349,6349
1614371480,6341,6341
1614375078,6343,6343
1614380546,6328,6328
1614382310,6332,6332
1614384100,6328,6328
1614385881,6352,6352
1614389471,6395,6395
1614393071,6391,6391
1614396669,6377,6377
1614400285,6369,6369
1614403875,6368,6368
1614407498,6377,6377
1614412872,6368,6368
1614414679,6374,6374
1614418271,6377,6377
1614421884,6373,6373
1614427291,6353,6353
1614429072,6353,6353
1614434506,6360,6360
1614436266,6353,6353
1614441673,6349,6349
1614447074,6336,6336
1614450691,6319,6319
1614454272,6315,6315
1614457895,6306,6306
1614461505,6309,6309
1614463387,6311,6311
1614468675,6304,6304
1614472265,6321,6321
1614475881,6390,6390
1614481278,6384,6384
1614483074,6374,6374
1614486670,6366,6366
1614490277,6357,6357
1614493886,6364,6364
1614497498,6363,6363
1614501082,6381,6381
1614504703,6392,6392
1614508273,6392,6392
1614510083,6392,6392
1614511871,6385,6385
1614515468,6386,6386
1614519104,6395,6395
1614522696,6387,6387
1614526267,6390,6390
1614531666,6375,6375
1614535274,6375,6375
1614538891,6381,6381
1614540669,6376,6376
1614542468,6381,6381
1614544269,6371,6371
1614547890,6373,6373
1614549736,6371,6371
1614551550,6369,6369
1614555069,6368,6368
1614558674,6428,6428
1614562266,6769,6769
1614565870,6765,6765
1614574877,6750,6750
1614582119,6759,6759
1614583866,6763,6763
1614587482,6774,6774
1614591076,6778,6778
1614594670,6774,6774
1614598278,6777,6777
1614601875,6782,6782
1614603675,6789,6789
1614611007,6786,6786
1614612684,6779,6779
1614614480,6789,6789
1614616269,6786,6786
1614618066,6789,6789
1614619878,6780,6780
1614623495,6774,6774
1614627065,6766,6766
1614628871,6763,6763
1614636112,6728,6728
1614637900,6722,6722
1614643279,6718,6718
1614645077,6745,6745
1614648667,6775,6775
1614652278,6787,6787
1614655878,6757,6757
1614661310,6748,6748
1614666692,6758,6758
1614672095,6747,6747
1614675676,6745,6745
1614677470,6750,6750
1614681074,6757,6757
1614684692,6752,6752
1614688290,6736,6736
1614691883,6744,6744
1614695463,6754,6754
1614700936,6749,6749
1614702692,6747,6747
1614708133,6740,6740
1614709920,6720,6720
1614711701,6740,6740
1614713500,6719,6719
1614717092,6717,6717
1614722488,6714,6714
1614724293,6702,6702
1614729671,6719,6719
1614731463,6752,6752
1614735093,6789,6789
1614738679,6780,6780
1614742278,6768,6768
1614745876,6756,6756
1614747673,6751,6751
1614754873,6753,6753
1614758483,6745,6745
1614762077,6742,6742
1614763898,6746,6746
1614767470,6732,6732
1614771071,6724,6724
1614774692,6736,6736
1614776517,6749,6749
1614781891,6748,6748
1614785475,6739,6739
1614789068,6744,6744
1614792691,6742,6742
1614796291,6742,6742
1614799877,6732,6732
1614803503,6740,6740
1614807067,6734,6734
1614810666,6730,6730
1614814267,6746,6746
1614816167,6769,6769
1614823267,6800,6800
1614825090,6791,6791
1614828676,6784,6784
1614832265,6772,6772
1614834104,6771,6771
1614841284,6761,6761
1614843077,6771,6771
1614848497,6761,6761
1614850301,6759,6759
1614853871,6748,6748
1614855761,6740,6740
1614862869,6735,6735
1614864671,6741,6741
1614868265,6730,6730
1614871873,6726,6726
1614875470,6716,6716
1614880899,6716,6716
1614882677,6710,6710
1614886287,6708,6708
1614889906,6718,6718
1614891696,6725,6725
1614897133,6715,6715
1614900666,6711,6711
1614904269,6735,6735
1614907867,6765,6765
1614913314,6757,6757
1614915081,6751,6751
1614918673,6742,6742
1614922292,6736,6736
1614925869,6738,6738
1614929495,6730,6730
1614931400,6725,6725
1614936675,6739,6739
1614942082,6740,6740
1614943868,6730,6730
1614947470,6732,6732
1614951080,6737,6737
1614954702,6724,6724
1614958269,6718,6718
1614961872,6712,6712
1614967318,6706,6706
1614969091,6694,6694
1614974511,6685,6685
1614978067,6694,6694
1614979872,6699,6699
1614985314,6689,6689
1614988875,6722,6722
1614990667,6747,6747
1614994266,6775,6775
1614997900,6772,6772
1615001473,6764,6764
1615005073,6750,6750
1615010493,6750,6750
1615012275,6752,6752
1615015890,6756,6756
1615019475,6754,6754
1615023068,6753,6753
1615028569,6752,6752
1615030285,6747,6747
1615033878,6745,6745
1615037477,6749,6749
1615041087,6736,6736
1615044699,6729,6729
1615048273,6736,6736
1615050102,6718,6718
1615053743,6711,6711
1615055490,6713,6713
1615060874,6721,6721
1615062681,6710,6710
1615066268,6719,6719
1615071693,6706,6706
1615073501,6696,6696
1615077069,6709,6709
1615080677,6744,6744
1615084291,6744,6744
1615087891,6733,6733
1615091477,6720,6720
1615095077,6708,6708
1615098669,6716,6716
1615102280,6718,6718
1615105902,6712,6712
1615109480,6713,6713
1615113074,6717,6717
1615116694,6710,6710
1615122069,6703,6703
1615125714,6708,6708
1615127478,6708,6708
1615131098,6706,6706
1615136518,6702,6702
1615138264,6695,6695
1615141881,6685,6685
1615147284,6683,6683
1615150948,6674,6674
1615152710,6690,6690
1615156354,6673,6673
1615159876,6671,6671
1615161666,6677,6677
1615167072,6707,6707
1615170713,6710,6710
1615172555,6703,6703
1615177902,6678,6678
1615181470,6677,6677
1615183267,6679,6679
1615186874,6674,6674
1615190466,6690,6690
1615192272,6692,6692
1615194080,6696,6696
1615199501,6686,6686
1615203063,6686,6686
1615208472,6676,6676
1615212069,6689,6689
1615215803,6682,6682
1615217493,6681,6681
1615221073,6644,6644
1615224693,6678,6678
1615230068,6672,6672
1615233675,6678,6678
1615235476,6666,6666
1615237279,6652,6652
1615242673,6612,6612
1615246271,6651,6651
1615251676,6707,6707
1615257073,6699,6699
1615260675,6624,6624
1615264277,6615,6615
1615269674,6674,6674
1615271477,6678,6678
1615275072,6673,6673
1615278680,6678,6678
1615282302,6678,6678
1615285893,6662,6662
1615291292,6662,6662
1615298546,6655,6655
1615300303,6643,6643
1615302155,6645,6645
1615307480,6577,6577
1615311093,6567,6567
1615316524,6576,6576
1615318395,6571,6571
1615321866,6571,6571
1615325491,6567,6567
1615329066,6566,6566
1615332704,6567,6567
1615334463,6556,6556
1615336270,6587,6587
1615339870,6600,6600
1615343468,6584,6584
1615347078,6567,6567
1615350670,6564,6564
1615354290,6554,6554
1615357879,6554,6554
1615361463,6554,6554
1615365073,6555,6555
1615368671,6552,6552
1615372267,6550,6550
1615375866,6546,6546
1615379476,6549,6549
1615384892,6542,6542
1615386689,6548,6548
1615388489,6541,6541
1615393903,6531,6531
1615395681,6526,6526
1615397481,6523,6523
1615401070,6534,6534
1615406480,6536,6536
1615408281,6518,6518
1615411871,6518,6518
1615415491,6524,6524
1615419067,6524,6524
1615422672,6545,6545
1615428086,6569,6569
1615433473,6565,6565
1615437089,6568,6568
1615440677,6559,6559
1615444272,6569,6569
1615447869,6563,6563
1615451489,6567,6567
1615455079,6563,6563
1615458666,6558,6558
1615462300,6557,6557
1615467689,6562,6562
1615469469,6557,6557
1615473075,6553,6553
1615476680,6559,6559
1615478475,6543,6543
1615483893,6530,6530
1615487473,6530,6530
1615491073,6528,6528
1615492915,6521,6521
1615498271,6524,6524
1615501879,6514,6514
1615505507,6494,6494
1615507278,6537,6537
1615514472,6572,6572
1615516269,6570,6570
1615519865,6554,6554
1615523501,6553,6553
1615525292,6545,6545
1615532541,6539,6539
1615534277,6542,6542
1615539674,6549,6549
1615541489,6548,6548
1615543402,6533,6533
1615550519,6532,6532
1615554071,6532,6532
1615555876,6538,6538
1615559475,6521,6521
1615563078,6520,6520
1615566680,6507,6507
1615570280,6493,6493
1615575691,6506,6506
1615579313,6480,6480
1615584666,6486,6486
1615590102,6487,6487
1615591866,6484,6484
1615595464,6497,6497
1615599070,6537,6537
1615604497,6534,6534
1615606297,6511,6511
1615609899,6493,6493
1615613477,6483,6483
1615617063,6493,6493
1615620694,6499,6499
1615626073,6503,6503
1615629695,6501,6501
1615633285,6495,6495
1615635081,6482,6482
1615638708,6481,6481
1615642420,1599,1599
1615644200,6481,6481
1615645882,6474,6474
1615649480,6469,6469
1615654875,6469,6469
1615656696,6468,6468
1615658493,6461,6461
1615660345,3564,3564
1615662235,6461,6461
1615663875,6451,6451
1615665670,6450,6450
1615671089,6453,6453
1615676467,6446,6446
1615678268,6448,6448
1615681881,6468,6468
1615685479,6504,6504
1615690907,6504,6504
1615694472,6488,6488
1615696266,6479,6479
1615699874,6480,6480
1615705296,6486,6486
1615707073,6486,6486
1615710672,6484,6484
1615714291,6483,6483
1615717994,6481,6481
1615721464,6479,6479
1615725096,6463,6463
1615728672,6475,6475
1615732291,6463,6463
1615735876,6454,6454
1615739513,6453,6453
1615743075,6443,6443
1615746673,6438,6438
1615752187,6438,6438
1615753875,6488,6488
1615755709,6430,6430
1615759270,6431,6431
1615761070,6414,6414
1615764675,6426,6426
1615770101,6441,6441
1615771866,6482,6482
1615775473,6479,6479
1615780910,6474,6474
1615784494,6462,6462
1615786271,6463,6463
1615789865,6458,6458
1615793475,6464,6464
1615797070,6458,6458
1615800667,6455,6455
1615806075,6456,6456
1615811496,6453,6453
1615815087,6458,6458
1615816879,6456,6456
1615822268,6451,6451
1615825899,6387,6387
1615827669,6384,6384
1615833101,6388,6388
1615838550,6389,6389
1615840292,6377,6377
1615843933,6370,6370
1615845679,6379,6379
1615851099,6383,6383
1615852898,6403,6403
