DateTime,AddedIPs,RemovedIPs
1615194002,347,0
1615194961,23,17
1615196893,25,27
1615197602,188,0
1615199087,21,21
1615201037,26,13
1615201203,198,0
1615202918,25,17
1615204803,140,0
1615207221,15,24
1615208402,177,0
1615209382,18,9
1615211538,20,34
1615212002,130,0
1615213443,20,13
1615215372,20,18
1615215602,175,0
1615217415,17,0
1615220085,215,16
1615222802,179,0
1615224302,16,23
1615226194,18,5
1615226402,262,0
1615228175,13,17
1615230397,18,10
1615233397,16,18
1615233602,508,0
1615235286,14,16
1615239156,11,25
1615241057,19,12
1615242998,346,13
1615244921,12,0
1615246812,18,0
1615247286,32,0
1615248732,221,3050
1615250672,15,13
1615252575,14,15
1615254511,13,14
1615255202,232,0
1615256410,14,17
1615258328,24,16
1615258815,36,76
1615260275,13,20
1615262648,34,33
1615264091,258,12
1615266073,18,16
1615267926,18,14
1615269856,16,19
1615270325,293,45
1615271791,13,24
1615273701,26,31
1615275613,23,19
1615277554,300,31
1615278731,835,838
1615279448,24,0
1615281381,28,45
1615283311,31,24
1615284002,388,0
1615285206,23,0
1615287125,23,13
1615290981,19,46
1615292887,238,0
1615294842,22,10
1615296759,320,17
1615298686,16,18
1615300569,3,20
1615302488,220,16
1615306378,15,15
1615306501,396,0
1615308276,21,6
1615310168,22,0
1615312090,15,16
1615314035,128,18
1615315925,154,12
1615319794,15,16
1615320902,268,0
1615321689,11,29
1615323615,15,0
1615325555,15,0
1615327458,11,25
1615328102,300,0
1615329367,19,0
1615331316,10,10
1615332006,47,34
1615333209,13,10
1615335129,16,14
1615337078,107,20
1615338967,8,0
1615340886,295,3945
1615342833,14,25
1615343524,48,0
1615344730,11,22
1615346651,184,0
1615347367,45,41
1615348598,25,10
1615350490,355,0
1615352690,22,30
1615354577,14,9
1615355290,15,0
1615360332,125,56
1615360501,290,1
1615362250,22,18
1615366087,26,48
1615369958,186,61
1615370702,918,835
1615371847,15,19
1615373766,291,26
1615375717,18,0
1615377641,36,18
1615379532,170,23
1615381484,19,19
1615383002,400,0
1615383371,11,5
1615385284,14,15
1615386603,137,0
1615387262,14,0
1615389140,10,9
1615390201,140,0
1615391049,8,0
1615392997,13,14
1615393802,151,0
1615394885,6,17
1615396812,21,17
1615397401,150,0
1615398760,18,14
1615400647,16,13
1615402584,19,13
1615404520,16,0
1615404602,240,0
1615406433,12,14
1615408362,13,9
1615410255,6,13
1615412170,306,11
1615414121,12,10
1615416010,19,16
1615417927,9,10
1615419002,232,0
1615419757,13,12
1615421166,41,83
1615421679,15,11
1615423686,19,8
1615425606,20,11
1615426202,186,3549
1615427557,21,11
1615428964,43,46
1615429446,21,13
1615431365,26,8
1615433320,15,17
1615433402,282,0
1615435232,21,20
1615436649,36,77
1615437126,22,15
1615439059,10,0
1615440484,13,16
1615440967,114,16
1615442923,143,15
1615444807,21,0
1615446725,18,0
1615448679,157,44
1615450565,29,0
1615452486,389,0
1615454437,19,29
1615455902,154,0
1615456326,25,0
1615458246,20,18
1615459502,196,0
1615460196,19,34
1615461376,426,907
1615462088,17,0
1615463102,148,0
1615464020,22,15
1615465958,14,41
1615466702,189,0
1615467861,18,0
1615469799,15,32
1615470301,171,0
1615471692,20,14
1615473606,5,0
1615473902,180,0
1615475559,8,19
1615477448,11,0
1615477502,186,0
1615479366,16,7
1615481561,159,18
1615483460,17,17
1615485366,19,19
1615487321,17,13
1615488302,247,0
1615489237,24,19
1615491126,27,20
1615493068,12,7
1615494998,22,8
1615495502,279,0
1615496893,20,11
1615498818,15,8
1615500761,17,10
1615502654,17,16
1615502702,350,0
1615506005,44,0
1615506487,17,15
1615508419,8,13
1615510362,111,14
1615512251,186,3550
1615514203,15,16
1615516606,18,14
1615517526,142,79
1615518491,146,17
1615520411,18,13
1615521368,36,0
1615522362,14,17
1615524265,15,10
1615524302,258,0
1615526172,21,11
1615528120,14,14
1615528884,17,28
1615530017,28,13
1615531931,173,17
1615533881,26,17
1615535767,26,18
1615537928,377,29
1615539857,32,21
1615541801,14,13
1615543691,173,22
1615545611,18,20
1615546803,371,0
1615547563,15,12
1615549448,10,15
1615550402,116,0
1615553319,17,36
1615553529,461,417
1615554002,206,0
1615555215,16,19
1615557126,15,14
1615557602,136,0
1615559080,18,17
1615560967,15,4
1615561203,157,0
1615562885,24,7
1615564850,19,10
1615566732,178,15
1615568899,148,13
1615570854,6,17
1615572003,131,0
1615574661,9,36
1615576567,15,17
1615578522,17,15
1615579202,286,0
1615580417,16,22
1615582326,14,11
1615584283,14,21
1615586166,20,15
1615586402,259,0
1615588088,16,12
1615590054,15,15
1615591934,15,0
1615592408,37,76
1615593857,18,12
1615595800,225,3712
1615599609,21,30
1615600802,233,0
1615601557,20,14
1615601766,39,0
1615603450,15,11
1615605365,20,18
1615607317,23,17
1615608003,186,0
1615609209,14,10
1615609449,44,82
1615611126,30,11
1615613085,15,16
1615613529,15,0
1615614967,19,15
