DateTime,AddedIPs,RemovedIPs
1615570280,19,28
1615570381,1,0
1615570849,986,515
1615570924,0,1
1615571523,1,0
1615572124,3,0
1615573324,3,0
1615573981,4,0
1615574524,3,0
1615575124,5,0
1615575724,31,26
1615576323,3,0
1615576924,2,0
1615577523,1,0
1615579323,25,46
1615581724,1,0
1615582923,1,0
1615584124,0,3
1615584666,23,16
1615585923,2,0
1615589523,1,0
1615590124,32,25
1615590723,1,0
1615591323,3,0
1615591924,22,25
1615591982,1,0
1615592524,23,0
1615593124,2,0
1615594923,2,0
1615595464,36,23
1615596123,1,0
1615597324,3,0
1615597923,3,0
1615599070,46,16
1615599181,1,1
1615600923,2,0
1615602150,2,0
1615603324,1,0
1615603923,2,0
1615604523,25,22
1615605124,2,0
1615606324,27,47
1615606382,1,0
1615608124,3,0
1615608724,2,0
1615609324,5,0
1615609925,43,58
1615610524,4,0
1615611123,3,0
1615612323,1,0
1615612923,3,0
1615613477,36,41
1615615323,1,2
1615616523,2,0
1615617063,34,25
1615617724,1,1
1615618923,1,0
1615620124,2,0
1615620724,1,0
1615620781,19,15
1615622523,3,0
1615623723,4,0
1615624924,2,0
1615625523,2,0
1615626124,22,18
1615626723,4,0
1615627324,1,0
1615629723,21,18
1615630323,1,0
1615632723,3,0
1615633323,11,14
1615635124,15,21
1615635181,1,0
1615635723,1,0
1615638124,1,0
1615638724,23,22
1615639923,2,0
1615640523,1,0
1615641724,1,0
1615642924,2,0
1615644123,8,2748
1615645324,2745,0
1615647124,15,16
1615648324,2,0
1615648923,3,0
1615649581,19,22
1615650123,2,0
1615651324,2,0
1615652524,3,0
1615653724,3,0
1615654323,2,0
1615654924,14,14
1615655524,1,0
1615656124,2,0
1615656696,14,14
1615657942,1314,414
1615658524,18,24
1615659123,1,0
1615659723,1,0
1615660323,5,0
1615660924,5,0
1615661523,2,0
1615662123,5,1617
1615662723,1618,0
1615663981,1,0
1615664524,5,0
1615665723,17,21
1615666923,24,24
1615668124,14,0
1615668724,2,0
1615669323,3,0
1615670523,1,0
1615671089,16,14
1615671723,5,0
1615672923,4,0
1615674123,4,0
1615674724,5,0
1615675323,3,0
1615676523,11,15
1615677123,2,0
1615677723,1,0
1615678268,20,16
1615678382,2,0
1615678923,3,0
1615679523,1,0
1615680124,1,0
1615680723,6,0
1615681323,1,0
1615681981,39,21
1615683724,4,0
1615684923,4,0
1615685524,50,19
1615686123,2,0
1615687324,3,0
1615687924,1,0
1615690923,18,19
1615691523,3,0
1615692724,5,0
1615692781,1,0
1615693324,1,0
1615694523,34,49
1615695124,4,0
1615695723,1,0
1615696266,53,63
1615696382,2,0
1615696924,2,0
1615698123,8,0
1615698723,2,0
1615699324,1,0
1615699874,43,42
1615701123,7,0
1615702923,7,0
1615703581,2,0
1615704124,1,1
1615705323,31,25
1615705924,0,1
1615707124,25,22
1615707723,2,0
1615708923,4,1
