DateTime,AddedIPs,RemovedIPs
1615487319,155,71
1615488361,89,83
1615488809,67,35
1615489235,12,13
1615490704,100,45
1615491124,12,11
1615491245,37,69
1615493066,14,9
1615493764,69,30
1615494319,101,37
1615494995,18,9
1615495566,39,69
1615496890,109,78
1615497905,94,3
1615498816,248,13
1615499169,24,67
1615500071,50,26
1615500759,18,8
1615501632,116,54
1615502651,33,123
1615503673,89,88
1615504592,5,10
1615506487,10,13584
1615507290,13646,0
1615508419,237,0
1615509080,82,41
1615509450,30,61
1615510362,8,15
1615512250,12,12
1615512844,189,139
1615514203,15,14
1615514491,81,20
1615516605,116,63
1615518490,14,12
1615518971,115,182
1615520044,130,75
1615520410,10,19
1615521682,66,19
1615522362,12,7
1615523514,109,40
1615524264,44,68
1615526171,15,9
1615527084,199,64
1615528119,8,4
1615528665,123,114
1615530016,13,7
1615530683,107,55
1615531215,30,102
1615531930,5,14
1615533880,185,86
1615534682,104,78
1615535766,15,9
1615536177,103,127
1615537927,16,14
1615538781,72,3
1615539005,87,88
1615539856,7,11
1615540573,71,55
1615541800,7,18
1615542383,80,85
1615543689,149,81
1615545610,101,88
1615546641,70,24
1615547561,10,503
1615548683,85,52
1615548844,29,90
1615549446,14,15
1615550556,67,131
1615551373,270,0
1615551905,73,0
1615553318,22,14
1615554081,49,83
1615555214,17,16
1615556045,104,109
1615557124,13,5
1615557661,68,26
1615559079,17,14
1615559455,87,40
1615560965,11,8
1615561255,322,620
1615562884,12,9
1615563245,121,119
1615564848,15,16
1615564861,69,75
1615566730,82,18
1615566845,45,55
1615568897,15,13
1615570852,199,148
1615572757,9,18
1615572966,80,132
1615573505,56,1
1615574659,56,96
1615575670,68,13
1615576565,23,10
1615577103,134,45
1615577644,30,57
1615578520,11,8
1615580415,14,13
1615581003,100,60
1615581245,93,62
1615582323,18,9
1615584280,5,263
1615584845,175,104
1615586163,22,10
1615587387,122,63
1615588085,13,6
1615588445,82,48
1615590052,13,7
1615591934,7,16
1615592296,210,118
1615593857,217,0
1615594594,139,49
1615595800,15,18
1615596452,102,91
1615597687,8,14
1615599249,190,110
1615599610,5,8
1615601557,9,16
1615602697,99,41
1615603451,10,4
1615603596,56,59
1615604245,60,14
1615605365,16,13
1615605905,78,29
1615607317,6,6
1615608107,48,88
