DateTime,AddedIPs,RemovedIPs
1615513324,4,0
1615513924,5,0
1615514523,18,0
1615515723,7,0
1615516381,1,0
1615516923,1,0
1615518123,4,0
1615518723,1,0
1615521723,5,0
1615522324,1,0
1615522924,1,0
1615523524,7,1
1615524124,1,0
1615524724,1,1
1615525324,3,0
1615525923,2,1
1615527181,0,1
1615528323,1,0
1615528924,1,0
1615530123,1,0
1615530724,2,0
1615531923,2,0
1615532523,44,0
1615533124,3,2
1615533723,1,0
1615534923,3,0
1615536123,3,1
1615536723,3,0
1615537323,1,0
1615537924,2,0
1615537982,3,0
1615538523,2,0
1615539123,1,0
1615540323,2,0
1615541582,4,0
1615543323,28,0
1615543923,1,0
1615544523,2,0
1615545124,1,0
1615546323,2,0
1615546923,2,0
1615548123,2,0
1615550523,4,0
1615551123,1,0
1615552382,2,0
1615552924,2,0
1615554124,2,0
1615554723,2,0
1615555324,4,0
1615556524,1,0
1615557723,1,0
1615558323,5,0
1615558923,2,0
1615560124,1,0
1615560723,1,0
1615562523,2,0
1615564323,1,0
1615566124,5,0
1615566724,1,0
1615567324,4,0
1615567923,4,0
1615568523,2,0
1615569123,2,0
1615570381,1,0
1615570849,986,516
1615570924,0,1
1615571523,1,0
1615572124,3,0
1615573324,3,0
1615573981,4,0
1615574524,3,0
1615575124,5,0
1615576323,3,0
1615576924,2,0
1615577523,1,0
1615579323,4,0
1615581724,1,0
1615582923,1,0
1615584124,0,3
1615585923,2,0
1615589523,1,0
1615590124,5,0
1615590723,1,0
1615591323,3,0
1615591924,2,0
1615591982,1,0
1615592524,23,0
1615593124,2,0
1615594923,2,0
1615596123,1,0
1615597324,3,0
1615597923,3,0
1615599181,1,1
1615600923,2,0
1615602123,2,0
1615603324,1,0
1615603923,2,0
1615604523,3,0
1615605124,2,0
1615606382,1,0
1615608124,3,0
1615608724,2,0
1615609324,5,0
1615609925,2,0
1615610524,4,0
1615611123,3,0
1615612323,1,0
1615612923,3,0
1615615323,1,2
1615616523,2,0
1615617724,1,1
1615618923,1,0
1615620124,2,0
1615620724,1,0
1615622523,3,0
1615623723,4,0
1615624924,2,0
1615625523,2,0
1615626723,4,0
1615627324,1,0
1615629723,2,0
1615630323,1,0
1615632723,3,0
1615635124,2,0
1615635181,1,0
1615635723,1,0
1615638124,1,0
1615638724,4,0
1615639923,2,0
1615640523,1,0
1615641724,1,0
