DateTime,AddedIPs,RemovedIPs
1615004913,27,26
1615007272,39,42
1615009246,25,52
1615011525,52,40
1615013555,40,37
1615015449,34,64
1615017364,35,92
1615019313,27,57
1615021248,42,36
1615023277,23,33
1615025386,32,31
1615027234,34,45
1615029447,30,1764
1615031538,28,39
1615033527,887,0
1615035395,30,35
1615037299,35,59
1615039710,55,68
1615041629,34,55
1615043962,48,45
1615045964,28,44
1615047844,31,42
1615049764,27,35
1615051717,22,24
1615053861,192,43
1615055934,344,47
1615058172,163,39
1615060114,90,36
1615062140,72,37
1615064200,96,33
1615066342,267,34
1615068825,144,28
1615070700,138,31
1615073083,126,46
1615075000,118,42
1615077154,957,0
1615079318,152,28
1615081209,92,58
1615083128,106,35
1615085077,97,40
1615087363,133,43
1615089416,197,44
1615091327,88,30
1615093559,111,38
1615095451,95,27
1615097326,83,40
1615099241,135,34
1615101429,136,30
1615103351,107,31
1615105489,72,32
1615107400,142,32
1615109323,73,27
1615111395,114,26
1615113365,123,31
1615115189,93,1794
1615117234,124,29
1615119050,890,0
1615121153,131,44
1615123068,116,48
1615124928,92,46
1615126857,84,38
1615128737,74,47
1615130691,60,34
1615132579,108,46
1615134517,74,35
1615136430,85,29
1615138370,84,26
1615140419,98,53
1615142419,103,34
1615144440,93,36
1615146296,90,34
1615148495,113,36
1615150333,78,31
1615152302,80,29
1615154342,111,37
1615156160,88,22
1615158473,142,43
1615160466,92,28
1615162361,738,0
1615164328,81,32
1615166241,62,35
1615168402,82,39
1615170498,77,35
1615172579,86,43
1615174859,92,42
1615176980,94,35
1615178906,93,25
1615180894,88,28
1615182755,61,26
1615184644,76,33
1615186783,62,30
1615188802,67,37
1615191115,67,38
1615193078,66,17
1615194960,65,37
1615196892,55,25
1615199086,70,31
1615201036,60,37
1615202917,53,4402
1615205314,2463,0
1615207220,100,241
1615209381,77,101
1615211536,79,98
1615213441,96,38
1615215370,102,117
1615217414,125,136
1615220083,87,168
1615222093,83,111
1615224301,89,88
1615226191,105,108
1615228173,84,73
1615230394,119,175
1615232475,89,128
1615234324,101,62
1615236270,107,110
1615238164,109,119
1615240083,97,99
1615242027,108,96
1615243923,93,120
1615245844,99,83
1615247790,96,116
1615249687,2041,0
1615251648,81,124
1615253527,74,60
1615255457,76,59
1615257391,67,64
1615259290,60,72
1615261207,80,99
1615263158,74,124
1615265048,67,74
1615266967,95,66
1615268915,82,76
1615270804,88,56
1615272725,71,135
1615274672,60,91
1615276565,82,94
1615278488,73,53
1615280451,74,138
1615282331,69,80
1615284265,62,85
1615286191,77,105
1615288088,67,3811
1615290005,83,63
1615291957,1687,0
1615293850,113,73
1615295780,123,72
1615297685,74,78
1615299604,116,59
1615301555,113,92
1615303447,88,62
1615305368,111,72
1615307284,88,85
1615309287,133,106
1615311154,95,69
1615313055,94,75
1615314964,91,76
1615316915,87,72
1615318806,110,56
1615320727,101,65
1615322672,90,64
1615324833,114,67
1615326725,93,75
1615328646,92,59
1615330590,102,62
1615332490,103,45
1615334428,1419,0
1615336360,80,46
1615338252,68,49
1615340166,101,67
1615342118,49,60
1615344006,81,55
1615345926,61,63
1615347878,80,53
1615349766,69,66
1615351930,79,99
1615353847,59,66
1615355769,60,72
1615357714,68,56
1615359645,78,66
1615361524,45,56
1615363487,50,44
1615365367,70,64
1615367535,82,50
1615369447,68,72
1615371397,69,70
1615373289,58,50
1615375205,53,3903
1615377155,84,111
1615379046,1914,3
1615380964,113,94
1615382917,69,55
1615384833,84,103
1615386727,78,62
1615388683,100,55
1615390571,97,107
1615392728,98,77
1615394652,84,80
1615396637,81,102
1615398485,79,102
1615400407,81,88
1615402353,92,81
1615404245,92,68
1615406168,110,95
1615408083,125,78
1615410026,107,83
1615411963,84,69
1615413854,94,62
1615415764,113,82
1615417723,52,76
1615419757,93,99
1615421679,1613,0
1615423686,90,69
1615425606,78,44
1615427557,69,66
1615429445,73,54
1615431365,67,54
1615433320,72,78
1615435231,87,67
1615437126,72,60
1615439058,50,75
1615440966,68,98
1615442922,72,79
1615444807,54,58
1615446725,65,78
1615448679,48,53
1615450564,96,88
1615452485,59,72
1615454436,108,81
1615456324,79,52
1615458245,75,62
1615460195,92,95
1615462086,77,3986
1615464019,1738,0
1615465956,104,93
1615467859,74,68
1615469797,130,104
1615471690,100,53
1615473604,75,88
1615475558,104,66
1615477446,92,76
1615479364,110,77
1615481559,123,80
1615483458,101,57
1615485364,112,73
1615487319,105,72
1615489235,117,75
1615491124,89,60
1615493066,114,49
1615494995,128,76
1615496890,100,74
1615498816,98,82
1615500759,102,68
1615502651,103,60
1615504592,101,56
1615506487,117,65
1615508419,1345,0
1615510362,65,50
1615512250,91,56
1615514203,104,58
1615516605,103,80
1615518490,91,32
1615520410,80,71
1615522362,77,46
1615524264,78,64
1615526171,81,52
1615528119,66,48
1615530016,75,65
1615531930,57,52
1615533880,59,52
1615535766,63,45
1615537927,78,65
1615539856,62,65
1615541800,84,83
1615543689,65,52
1615545610,76,66
1615547561,66,3724
1615549446,63,113
1615551373,1836,0
1615553318,99,87
1615555214,113,92
1615557124,71,60
1615559079,109,77
1615560965,80,94
1615562884,106,73
1615564848,93,91
1615566730,91,74
1615568897,122,58
1615570852,93,78
1615572757,73,71
1615574659,86,50
1615576565,152,71
1615578520,107,60
1615580415,129,97
1615582323,96,66
1615584280,82,92
1615586163,122,81
1615588085,102,74
1615590052,113,67
1615591934,72,88
1615593857,1448,0
1615595800,98,69
1615597687,70,57
1615599610,94,68
1615601557,74,53
1615603451,67,51
1615605365,61,64
1615607317,55,58
1615609209,89,59
1615611126,62,42
1615613085,59,41
1615614966,79,70
1615616886,59,44
1615618848,80,50
1615620732,69,52
1615622662,63,57
1615624599,83,78
1615626492,70,71
1615628406,64,75
1615630363,83,70
1615632247,59,59
1615634170,72,4267
1615636117,109,64
1615638006,1852,0
1615639929,111,74
1615641863,103,94
1615643827,130,105
1615645685,96,69
1615647627,99,108
1615649525,102,74
1615651451,65,68
1615653380,121,108
1615655287,95,69
1615657203,103,77
1615659138,91,84
1615661045,103,63
1615662966,129,90
1615664896,104,43
1615666802,94,84
1615668727,166,86
1615670658,100,69
1615672563,109,92
1615674482,110,72
1615676429,119,82
1615678321,80,54
1615680254,1494,0
1615682184,41,55
1615684103,45,47
1615686006,86,73
1615687925,266,61
1615689858,80,50
1615691766,79,82
1615693685,60,41
1615695615,101,73
1615697524,100,61
1615699450,91,63
1615701375,85,50
1615703287,66,56
1615705214,87,71
1615707141,73,46
1615709053,92,53
1615710966,47,70
1615712897,67,59
1615714807,93,67
1615716724,66,87
1615718658,68,58
1615720563,114,4107
1615722503,89,101
1615724402,1856,0
1615726323,54,101
1615728255,42,89
1615730174,31,107
1615732082,20,74
1615734043,110,77
1615735929,174,62
1615738107,125,75
1615740003,92,98
1615741937,109,74
1615743844,114,63
1615745774,198,91
1615747682,105,76
1615749603,128,69
1615751535,117,77
1615753442,147,92
1615755613,176,92
1615757529,143,61
1615759463,124,58
1615761365,170,100
1615763287,91,74
1615765219,83,96
1615767131,1618,0
1615769060,97,58
1615770967,114,75
1615772887,113,65
1615774816,118,72
1615776728,92,51
1615778646,71,48
1615780577,113,56
1615782488,78,72
1615784416,92,60
1615786339,86,54
1615788252,101,53
1615790167,71,78
1615792347,92,70
1615794247,96,58
1615796169,84,81
1615798097,75,62
1615800019,85,69
1615801924,74,54
1615803859,68,72
1615805764,114,76
1615807689,83,4446
1615809627,2032,7
1615811528,85,45
1615813452,102,57
1615815382,138,114
1615817284,114,126
1615819208,78,66
1615821135,87,84
1615823050,91,59
1615824963,135,103
1615826899,122,112
1615828803,117,99
1615830742,148,94
1615832654,120,78
1615834568,133,90
1615836496,130,83
1615838408,157,115
1615840327,151,50
1615842269,125,56
1615844167,154,120
1615846090,120,68
1615848018,172,85
1615849927,101,108
1615851859,123,91
1615853767,1677,0
1615855695,122,51
1615857607,84,27
1615859537,90,113
1615861449,74,54
1615863362,77,74
1615865299,77,43
1615867215,93,58
1615869128,87,79
1615871063,71,65
1615872970,118,83
1615874885,79,71
1615876822,105,61
1615878728,98,64
1615880651,94,83
1615882576,95,70
1615884491,64,35
1615886403,69,85
1615888343,67,80
1615890243,79,59
1615892167,85,94
1615894096,72,4680
1615896019,2267,0
1615897923,137,137
1615899871,110,119
1615901764,137,116
1615903933,93,107
1615905844,90,94
1615907783,98,86
1615909683,98,95
1615911609,99,120
1615913538,112,92
1615915450,98,90
