DateTime,Entries,UniqueIPs
1614630607,7048,7048
1614633308,7066,7066
1614636007,7394,7394
1614638707,8253,8253
1614641407,8732,8732
1614644106,8829,8829
1614646807,8721,8721
1614649507,8597,8597
1614652207,8443,8443
1614654908,8114,8114
1614657607,7826,7826
1614660307,7562,7562
1614663007,7215,7215
1614665706,7113,7113
1614668406,7104,7104
1614671107,7279,7279
1614673807,7631,7631
1614676506,8110,8110
1614679206,8354,8354
1614681906,8957,8957
1614684606,9476,9476
1614687306,10362,10362
1614690006,11062,11062
1614692706,10942,10942
1614695406,11563,11563
1614698106,12033,12033
1614700806,12785,12785
1614703507,12763,12763
1614706206,12802,12802
1614708905,13219,13219
1614711604,13381,13381
1614714305,13696,13696
1614717004,13437,13437
1614719704,13806,13806
1614722404,14003,14003
1614725104,13161,13161
1614727804,13400,13400
1614730503,13502,13502
1614733204,13573,13573
1614735903,13448,13448
1614738603,11975,11975
1614741303,11049,11049
1614744002,9769,9769
1614746702,8718,8718
1614749402,8099,8099
1614752102,7117,7117
1614754802,5703,5703
1614757502,4744,4744
1614760201,4004,4004
1614762902,3454,3454
1614765602,3078,3078
1614768302,2850,2850
1614771002,2471,2471
1614773701,2267,2267
1614776401,2297,2297
1614779101,2352,2352
1614781801,2331,2331
1614784501,2290,2290
1614787201,2381,2381
1614789901,2686,2686
1614792601,2631,2631
1614795301,2774,2774
1614798001,2985,2985
1614800701,3188,3188
1614803401,3199,3199
1614806101,3319,3319
1614808801,3310,3310
1614811501,3260,3260
1614814201,3279,3279
1614816901,3574,3574
1614819601,3702,3702
1614822301,3770,3770
1614825002,3742,3742
1614827702,3790,3790
1614830401,3818,3818
1614833102,3810,3810
1614835801,3709,3709
1614838501,3663,3663
1614841201,3566,3566
1614843901,3485,3485
1614846602,3475,3475
1614849301,3465,3465
1614852001,3493,3493
1614854701,3647,3647
1614857401,3828,3828
1614860101,3835,3835
1614862801,3636,3636
1614865502,3601,3601
1614868201,4188,4188
1614870902,4717,4717
1614873601,5098,5098
1614876302,5330,5330
1614879001,5422,5422
1614881701,5614,5614
1614884402,5741,5741
1614887101,5928,5928
1614889801,5924,5924
1614892501,6026,6026
1614895202,5999,5999
1614897901,6018,6018
1614900601,6898,6898
1614903302,7591,7591
1614906001,8596,8596
1614908702,9037,9037
1614911402,9363,9363
1614914102,8790,8790
1614916802,8666,8666
1614919502,8869,8869
1614922202,8832,8832
1614924902,8715,8715
1614927603,8768,8768
1614930303,8855,8855
1614933002,8878,8878
1614935704,9070,9070
1614938403,9292,9292
1614941104,9764,9764
1614943803,9701,9701
1614946503,9217,9217
1614949203,8178,8178
1614951903,8390,8390
1614954603,8361,8361
1614957304,8878,8878
1614960003,9565,9565
1614962703,9611,9611
1614965403,9878,9878
1614968102,10102,10102
1614970803,10542,10542
1614973504,10762,10762
1614976204,10793,10793
1614978904,10784,10784
1614981603,10919,10919
1614984304,10982,10982
1614987004,10557,10557
1614989703,10395,10395
1614992404,10337,10337
1614995103,10175,10175
1614997804,9854,9854
1615000504,9623,9623
1615003204,9070,9070
1615005903,8708,8708
1615008604,8297,8297
1615011304,8305,8305
1615014003,8151,8151
1615016703,7838,7838
1615019403,7874,7874
1615022104,7802,7802
1615024802,7742,7742
1615027503,7850,7850
1615030202,7768,7768
1615032903,7774,7774
1615035603,8149,8149
1615038303,8385,8385
1615041003,8479,8479
1615043703,8380,8380
1615046403,8285,8285
1615049103,8532,8532
1615051803,8787,8787
