DateTime,AddedIPs,RemovedIPs
1615538523,3,0
1615539123,4,1
1615539723,2,2
1615540323,2,0
1615540923,0,5
1615542124,1,2
1615543923,1,0
1615544523,2,0
1615545124,1,0
1615546323,4,24
1615546923,2,0
1615548123,2,4
1615548724,0,4
1615549923,5,3
1615551123,3,2
1615552324,4,5
1615552924,2,3
1615554124,2,3
1615554723,5,2
1615555324,8,1
1615556524,2,0
1615557723,3,1
1615558323,8,3
1615558923,4,1
1615560124,1,0
1615560723,0,8
1615561323,0,2
1615562523,2,3
1615563724,1,3
1615566124,7,1
1615566724,1,0
1615567324,5,13
1615567923,7,0
1615569123,2,2
1615570324,0,2
1615570924,0,6
1615571523,2,0
1615572124,3,2
1615573324,3,4
1615573924,3,0
1615574524,2,4
1615575124,7,0
1615576323,5,7
1615576924,3,1
1615577523,1,0
1615578723,1,4
1615579323,5,0
1615580523,5,3
1615581724,4,1
1615582923,3,0
1615584124,0,4
1615585324,0,6
1615585923,2,0
1615587123,0,2
1615587723,0,29
1615588924,1,0
1615589523,2,0
1615590124,7,0
1615590723,0,1
1615591323,5,0
1615591924,3,0
1615592524,11,0
1615593124,1,0
1615593723,2,0
1615594923,4,7
1615596123,1,10
1615597324,3,0
1615597923,3,0
1615599124,3,0
1615599724,1,4
1615602123,5,0
1615603923,5,10
1615604523,2,0
1615605124,4,0
1615606324,2,1
1615606923,0,3
1615607524,2,2
1615608724,4,7
1615609324,9,0
1615609925,1,1
1615610524,4,0
1615611123,5,3
1615611724,1,1
1615612323,1,0
1615612923,2,2
1615614123,0,1
1615615323,1,2
1615616523,1,0
1615617724,3,0
1615618923,2,0
1615620124,4,1
1615620724,1,0
1615621323,1,0
1615622523,3,1
1615623723,4,0
1615624924,2,2
1615625523,3,0
1615626124,1,0
1615626723,6,0
1615627324,1,2
1615628524,1,0
1615629124,0,1
1615629723,3,4
1615630323,1,0
1615632124,0,18
1615632723,3,0
1615633323,3,1
1615634523,2,6
1615635124,4,0
1615635723,2,0
1615636923,1,1
1615638124,2,0
1615638724,6,6
1615639923,3,1
1615640523,1,5
1615641724,3,6
1615642924,1,6
1615644123,1,0
1615645324,3,3
1615647124,1,0
1615648324,3,1
1615648923,4,14
1615650123,0,4
1615650723,1,0
1615651324,3,0
1615651924,0,7
1615652524,2,2
1615653724,8,1
1615654323,3,0
1615654924,1,0
1615656124,2,2
1615657323,1,1
1615659123,1,1
1615659723,2,7
1615660323,4,0
1615660924,5,1
1615661523,2,0
1615662123,7,8
1615662723,2,2
1615663924,6,0
1615664524,0,5
1615665723,4,0
1615666323,0,3
1615666923,0,13
1615668124,1,2
1615668724,2,1
1615669323,3,0
1615670523,1,1
1615671723,6,0
1615672923,7,0
1615674123,2,6
1615674724,5,0
1615675323,3,5
1615676523,6,8
1615677123,4,0
1615677723,7,0
1615678325,2,1
1615678923,2,0
1615679523,2,2
1615680124,2,0
1615680723,5,1
1615681323,2,0
1615681923,1,0
1615683123,0,9
1615684323,0,6
1615684923,4,0
1615685524,2,0
1615686123,3,2
1615687324,7,2
1615687924,1,0
1615688524,1,0
1615689723,1,1
1615690923,3,0
1615691523,5,0
1615692124,1,0
1615692724,5,9
1615693324,2,0
1615694523,5,17
1615695723,1,2
1615696324,4,0
1615696924,4,0
1615698123,12,0
1615698723,3,1
1615699324,1,18
1615699923,3,0
1615701123,1,10
1615701723,1,5
1615702923,8,18
1615703524,2,6
1615704124,4,6
1615705323,1,0
1615705924,1,3
1615706524,1,0
1615707124,1,0
1615707723,2,0
1615708923,4,2
1615710123,2,6
1615711323,0,2
1615711923,4,0
1615713124,1,3
1615713723,3,2
1615714923,4,4
1615715524,0,1
1615716123,1,2
1615717324,1,0
1615717924,6,13
1615718523,1,13
1615719123,6,0
1615719724,3,2
1615720323,2,1
1615720924,4,0
1615722123,4,1
1615723324,8,3
1615723923,6,3
1615724524,5,1
1615725724,4,0
1615726324,3,2
1615726923,3,0
1615728124,3,0
1615728723,3,5
1615729324,1,2
1615730524,3,0
1615731723,2,1
1615732923,2,22
1615733523,4,0
1615734124,2,0
1615734724,3,0
1615735323,1,1
1615736523,4,11
1615737124,3,0
1615737723,6,3
1615738323,3,0
1615739524,6,0
1615740124,2,0
1615740723,1,0
1615741323,6,0
1615742524,7,3
1615743124,2,6
1615744324,3,1
1615744923,5,0
1615746123,3,1
1615747323,4,5
1615748523,5,0
1615749724,4,0
1615750923,10,11
1615752124,5,0
1615752724,1,3
1615753924,7,2
1615754524,5,1
1615755123,8,4
1615755723,2,0
1615756923,3,12
1615757524,7,0
1615758123,3,0
1615759324,5,1
1615760523,9,3
1615761723,7,7
1615762924,7,8
1615764124,0,3
1615764724,1,0
1615765323,4,0
1615766523,7,0
1615767123,2,0
1615767723,2,4
1615768924,4,13
1615770123,8,3
1615771324,4,8
1615771924,3,0
1615772523,5,0
1615773123,3,0
1615773723,1,0
1615774923,3,0
1615776123,5,1
1615776724,4,2
1615777324,2,18
1615777924,3,0
1615778523,1,0
1615779723,1,1
1615780324,4,3
1615781524,3,3
1615782123,2,0
1615783323,4,4
1615783923,0,1
1615784523,1,0
1615785724,14,6
1615786924,4,0
1615788124,4,0
1615789924,1,0
1615790523,2,17
1615791724,4,0
1615792324,1,0
1615792923,0,1
1615794124,3,16
1615794724,2,0
1615795323,2,1
1615796523,4,0
1615797123,7,3
1615798323,5,1
1615798924,2,4
1615800124,1,1
1615800724,4,0
1615801324,2,2
1615801924,1,0
1615802524,1,0
1615803724,4,12
1615804324,3,1
1615804923,3,0
1615806123,1,0
1615806723,1,1
1615807323,1,7
1615808523,2,2
1615809724,1,4
1615810324,6,1
1615811524,5,2
1615813324,5,6
1615814524,1,4
1615815724,6,0
1615816323,4,15
1615816924,1,0
1615817524,17,0
1615818124,12,2
1615818724,2,4
1615819324,10,1
1615820524,2,8
1615821124,4,1
1615821723,3,0
1615822924,11,2
1615823524,9,0
1615825323,6,0
1615826524,1,1
1615827723,10,1
1615828324,2,0
1615828924,12,2
1615830124,3,3
1615831323,4,0
1615831923,3,1
1615832523,4,12
1615833723,6,0
1615834923,2,5
1615836123,6,0
1615837324,4,1
1615838524,2,0
1615839124,3,0
1615839723,4,0
1615840324,2,6
1615840924,2,1
1615842124,6,0
1615842724,5,0
1615843323,1,2
1615843924,0,3
1615844523,1,0
1615845723,4,0
1615846923,4,1
1615848124,4,2
1615848724,3,21
1615849324,3,0
1615850524,1,17
1615851124,4,0
1615851724,1,0
1615854124,5,4
1615854724,6,0
1615855924,3,3
1615856524,4,0
1615857124,5,0
1615857723,1,0
1615858325,1,0
1615858924,2,4
1615859523,2,0
1615860123,5,3
1615860723,5,0
1615861323,2,0
1615861925,3,2
1615862524,1,7
1615863124,2,0
1615863723,3,0
1615865524,3,0
1615866123,1,19
1615867323,2,0
1615867924,0,4
1615868524,2,8
1615869724,2,6
1615870923,2,0
1615871524,3,5
1615872724,6,24
1615873924,5,0
1615874524,1,0
1615875724,1,2
1615876924,2,1
1615877523,3,0
1615878123,6,2
1615879323,3,4
1615880524,4,22
1615881123,2,0
1615881723,2,4
1615882923,0,1
1615883524,8,0
