DateTime,AddedIPs,RemovedIPs
1613718003,278,0
1613721603,140,0
1613725202,160,0
1613732403,296,0
1613739603,412,0
1613744102,199,0
1613751302,333,0
1613758502,268,0
1613762101,143,0
1613765702,127,0
1613769302,139,0
1613776503,226,0
1613781002,166,4168
1613784602,113,0
1613791801,281,0
1613795402,117,0
1613799003,110,0
1613802602,115,0
1613806202,189,0
1613809802,131,0
1613813402,147,0
1613817002,219,0
1613820602,125,0
1613824202,146,0
1613828701,136,0
1613832303,164,0
1613835902,153,0
1613839502,171,0
1613843102,120,0
1613846701,120,0
1613850302,89,0
1613857502,227,0
1613864701,214,0
1613868303,101,3342
1613871902,148,0
1613875502,133,0
1613882702,205,0
1613886302,89,0
1613894402,295,0
1613898002,106,0
1613901602,115,0
1613905202,144,0
1613908802,148,0
1613912403,144,0
1613916003,107,0
1613923202,237,0
1613930402,240,0
1613937602,274,0
1613941202,130,0
1613944803,93,0
1613949302,114,0
1613952902,93,3162
1613958302,215,0
1613963702,180,0
1613967302,190,1
1613972701,169,0
1613976302,146,0
1613984402,293,0
1613988002,193,0
1613991602,116,0
1613995202,184,0
1613998802,138,0
1614002402,159,0
1614009602,274,0
1614013202,186,1
1614016802,117,0
1614020402,142,0
1614024003,115,0
1614027602,128,0
1614035702,306,0
1614039302,106,3025
1614042901,130,0
1614046502,130,0
1614053702,291,0
1614060902,301,0
1614068103,280,0
1614071703,176,0
1614075302,164,0
1614078902,175,0
1614082502,157,0
1614086103,149,0
1614093303,356,0
1614096902,202,0
1614104101,260,1
1614108602,171,0
1614112201,117,0
1614115802,97,0
1614119402,120,0
1614126601,327,3251
1614130202,238,0
1614137402,238,0
1614144602,334,0
1614148202,173,0
1614151802,101,0
1614155401,123,0
1614159002,231,0
1614162602,148,0
1614166202,165,0
1614170702,152,0
1614174302,122,0
1614177902,181,0
1614181502,157,0
1614188702,261,0
1614192302,151,0
1614195902,129,0
1614199502,158,0
1614203102,157,0
1614206702,156,0
1614214803,250,3200
1614218402,115,0
1614222002,110,0
1614225602,112,0
1614229203,176,0
1614232802,123,0
1614236402,135,0
1614240002,185,0
1614243602,125,0
1614247202,171,0
1614250802,136,0
1614258002,268,0
1614265202,341,0
1614268803,150,0
1614272402,143,0
1614276002,121,0
1614279602,141,0
1614283202,119,0
1614286803,95,0
1614290402,83,0
1614298502,205,3756
1614302102,179,0
1614305702,114,0
1614307502,55,0
1614309302,77,0
1614314702,190,0
1614320102,191,0
1614324601,179,0
1614331802,258,0
1614335402,124,0
1614339002,134,0
1614342602,156,0
1614346202,136,0
1614349802,126,0
1614357002,232,0
1614361502,178,0
1614365102,134,0
1614368701,93,0
1614372303,98,0
1614375901,144,0
1614379502,105,0
1614383101,92,0
1614390302,163,3245
1614397502,225,0
1614404702,383,0
1614408303,111,0
1614411902,127,0
1614415501,142,0
1614419102,142,0
1614422701,90,0
1614429901,249,0
1614433502,137,0
1614440702,275,0
1614444302,116,0
1614448802,137,0
1614452402,163,0
1614456002,101,0
1614459603,98,0
1614463202,153,0
1614466802,66,0
1614470403,85,3264
1614474001,127,0
1614477602,105,0
1614481203,111,0
1614484802,106,0
1614488403,104,0
1614495602,229,0
1614502803,235,0
1614510003,233,0
1614513602,89,0
1614517202,150,0
1614520802,99,0
1614524402,143,0
1614528002,95,0
1614531602,78,0
1614535202,91,0
1614542402,253,0
1614546902,114,0
1614550502,104,0
1614554102,245,0
1614557702,59,3024
1614564903,224,0
1614568502,176,0
1614575701,265,0
1614582902,250,0
1614586502,125,0
1614590101,135,0
1614597302,286,0
1614600901,142,0
1614604502,150,0
1614608102,128,0
1614615301,364,0
1614618902,193,0
1614626102,349,0
1614630601,277,0
1614634202,134,0
1614637802,204,0
1614645001,267,2733
1614652201,300,0
1614655802,145,0
1614659402,125,0
1614663002,273,0
1614666602,172,0
1614670202,217,0
1614673802,156,0
1614677402,179,0
1614684602,352,0
1614688202,193,0
1614692702,215,0
1614696302,262,0
1614699902,163,0
1614703502,183,0
1614707102,175,0
1614710702,176,0
1614714302,163,0
1614717902,159,0
1614721502,120,0
1614725102,154,0
1614732302,260,3461
1614739502,407,0
1614746702,292,0
1614750302,126,0
1614753902,155,0
1614757502,177,0
1614761102,161,1
1614764702,156,0
1614768302,157,0
1614775502,375,0
1614779102,179,0
1614782702,209,0
1614786301,159,0
1614794403,360,0
1614798002,154,0
1614801602,142,0
1614805202,220,0
1614808802,110,0
1614812402,142,0
1614816003,127,4075
1614819603,132,0
1614823202,177,0
1614830402,259,0
1614834003,160,0
1614841202,284,0
1614848402,409,0
1614855603,341,0
1614859202,200,0
1614866403,439,0
1614870002,242,0
1614873603,172,0
1614877202,151,0
1614880803,188,0
1614884403,145,0
1614888002,155,0
1614891602,161,0
1614895202,149,0
1614898802,222,0
1614902403,114,3835
1614909602,325,0
1614917702,372,0
1614921302,132,0
1614924902,202,0
1614928502,321,0
1614932102,436,0
1614935702,179,0
1614939303,220,0
1614942902,175,0
1614946502,185,0
1614953702,422,0
1614960902,347,0
1614968102,292,0
1614971702,141,0
1614975302,150,0
1614982502,249,0
1614986102,86,0
1614989702,93,3955
1614996902,260,0
1615000502,129,0
1615004102,132,0
1615007702,103,0
1615011302,123,0
1615015802,226,0
1615019402,124,0
1615023002,157,0
1615026602,149,0
1615030202,129,0
1615037402,348,0
1615044602,311,0
1615048202,140,0
1615055402,269,0
1615062602,235,0
1615069801,227,0
1615077001,195,4387
1615080601,92,0
1615084202,77,0
1615087802,99,0
1615091401,175,0
1615095902,126,0
1615099502,217,0
1615103102,127,0
1615106701,117,0
1615110302,147,0
1615113902,146,0
1615121102,229,0
1615124702,128,0
1615131901,267,0
1615135502,133,0
1615139102,138,0
1615146302,282,0
1615149902,132,0
1615153502,102,0
1615160702,183,0
1615164301,124,3340
1615167902,118,0
1615175102,338,0
1615178702,224,0
1615182302,153,0
1615185902,176,0
1615189502,148,0
1615194002,227,0
1615197602,202,0
1615201203,207,0
1615204803,149,0
1615208402,181,0
1615212002,137,0
1615215602,183,0
1615219202,214,0
1615222802,185,0
1615226402,267,0
1615230003,250,0
1615233602,280,0
1615237202,220,0
1615240802,122,0
1615244402,108,0
1615248002,108,3146
1615251602,122,0
1615255202,118,0
1615262403,257,0
1615266002,138,0
1615269602,147,0
1615273202,147,0
1615276802,141,0
1615284002,404,0
1615287603,227,0
1615294802,333,0
1615298403,219,0
1615306501,411,0
1615310103,122,0
1615313702,143,0
1615317302,153,0
1615320902,126,0
1615328102,321,0
1615331702,108,0
1615338901,291,4036
1615342502,180,0
1615349702,357,0
1615353301,108,0
1615360501,308,1
1615364102,178,0
1615371301,289,0
1615374902,166,0
1615378502,171,0
1615383002,241,0
1615386603,147,0
1615390201,152,0
1615393802,158,0
1615397401,152,0
1615404602,259,0
1615411802,307,0
1615419002,241,0
1615426202,198,3664
1615433402,308,0
1615437002,113,0
1615440602,142,0
1615444202,142,0
1615448702,227,0
1615452302,163,0
1615455902,166,0
1615459502,206,0
1615463102,157,0
1615466702,196,0
1615470301,178,0
1615473902,188,0
1615477502,193,0
1615481102,145,0
1615488302,256,0
1615495502,296,0
1615502702,366,0
1615506302,102,0
