DateTime,Entries,UniqueIPs
1611003142,1425,1425
1611012616,1426,1426
1611022010,1429,1429
1611026718,1430,1430
1611031437,1431,1431
1611040898,1432,1432
1611050370,1436,1436
1611063982,1438,1438
1611073353,1440,1440
1611078089,1441,1441
1611082759,1443,1443
1611103923,1444,1444
1611113306,1447,1447
1611118192,1448,1448
1611122898,1450,1450
1611132451,1453,1453
1611137106,1454,1454
1611141813,1455,1455
1611155355,1456,1456
1611168584,1458,1458
1611178274,1461,1461
1611210323,1462,1462
1611245667,1407,1407
1611250447,1411,1411
1611255151,1413,1413
1611264112,1414,1414
1611268791,1417,1417
1611277997,1420,1420
1611287395,1425,1425
1611296733,1428,1428
1611300792,1429,1429
1611314841,1432,1432
1611323127,1434,1434
1611345940,1436,1436
1611355276,1443,1443
1611360324,1445,1445
1611367078,1450,1450
1611371733,1451,1451
1611383509,1452,1452
1611393122,1453,1453
1611397825,1457,1457
1611416747,1458,1458
1611421430,1459,1459
1611430323,1461,1461
1611439730,1463,1463
1611451539,1465,1465
1611456252,1466,1466
1611465403,1469,1469
1611470127,1474,1474
1611479576,1476,1476
1611498674,1483,1483
1611508141,1484,1484
1611517544,1485,1485
1611526933,1487,1487
1611541052,1488,1488
1611545721,1490,1490
1611550403,1491,1491
1611555389,1494,1494
1611574192,1496,1496
1611583630,1499,1499
1611593057,1501,1501
1611602433,1503,1503
1611611810,1505,1505
1611616523,1506,1506
1611630579,1508,1508
1611639979,1509,1509
1611649590,1510,1510
1611654284,1511,1511
1611661380,1512,1512
1611670779,1514,1514
1611680208,1515,1515
1611689456,1517,1517
1611703276,1518,1518
1611707888,1520,1520
1611717104,1521,1521
1611726594,1522,1522
1611731286,1523,1523
1611745143,1524,1524
1611754368,1525,1525
1611758969,1527,1527
1611763576,1529,1529
1611772798,1532,1532
1611791253,1533,1533
1611805097,1534,1534
1611814331,1537,1537
1611823748,1539,1539
1611832378,1542,1542
1611849480,1543,1543
1611857965,1551,1551
1611866371,1555,1555
1611875117,1557,1557
1611879713,1558,1558
1611884239,1560,1560
1611888757,1561,1561
1611893365,1563,1563
1611902530,1566,1566
1611911706,1568,1568
1611925000,1569,1569
1611934825,1570,1570
1611943970,1574,1574
1611948576,1575,1575
1611953173,1577,1577
1611962365,1585,1585
1611976378,1589,1589
1611994821,1591,1591
1612006458,1592,1592
1612088211,1516,1516
1612088511,1392,1392
1612095233,1394,1394
1612104144,1396,1396
1612108429,1397,1397
1612112846,1398,1398
1612117477,1402,1402
1612127003,1403,1403
1612136216,1405,1405
1612149435,1406,1406
1612158715,1415,1415
1612163345,1416,1416
1612167966,1420,1420
1612186441,1421,1421
1612191061,1424,1424
1612195712,1425,1425
1612200358,1428,1428
1612209585,1430,1430
1612219201,1432,1432
1612224231,1434,1434
1612230929,1435,1435
1612235542,1436,1436
1612240234,1437,1437
1612249506,1439,1439
1612258082,1440,1440
1612265114,1441,1441
1612283705,1443,1443
1612294744,1408,1408
1612301452,1410,1410
1612310713,1413,1413
1612319907,1415,1415
1612329346,1416,1416
1612333962,1417,1417
1612343590,1419,1419
1612352864,1420,1420
1612362256,1426,1426
1612371520,1427,1427
1612376143,1428,1428
1612380740,1430,1430
1612390010,1432,1432
1612399429,1435,1435
1612408988,1443,1443
1612418314,1444,1444
1612422944,1445,1445
1612427562,1447,1447
1612439506,1475,1475
1612449105,1476,1476
1612453772,1477,1477
1612458342,1478,1478
1612463142,1480,1480
1612472225,1481,1481
1612662190,1002,1002
1612668735,1252,1252
1612673075,1261,1261
1612677406,1267,1267
1612681759,1269,1269
1612686139,1271,1271
1612690488,1273,1273
1612694498,1274,1274
1612698856,1276,1276
1612707698,1279,1279
1612716542,1282,1282
1612720871,1283,1283
1612725279,1285,1285
1612734086,1288,1288
1612742773,1304,1304
1612747142,1306,1306
1612753922,1309,1309
1612762721,1310,1310
1612771525,1313,1313
1612789210,1317,1317
1612793621,1319,1319
1612797866,1344,1344
1612802323,1345,1345
1612809719,1356,1356
1612818696,1358,1358
1612830086,1362,1362
1612838899,1367,1367
1612847952,1368,1368
1612860372,1369,1369
1612864892,1388,1388
1612874078,1399,1399
1612883171,1401,1401
1612891469,1402,1402
1612896079,1413,1413
1612913942,1414,1414
1612923202,1418,1418
1612927630,1422,1422
1612931847,1424,1424
1612938798,1427,1427
1612950074,1428,1428
1612954642,1429,1429
1612970362,1431,1431
1612975181,1432,1432
1612984106,1433,1433
1612992942,1435,1435
1613009771,1437,1437
1613020864,1439,1439
1613025308,1440,1440
1613034008,1441,1441
1613040950,1443,1443
1613049626,1444,1444
1613053939,1445,1445
1613058316,1447,1447
1613066968,1448,1448
1613071405,1449,1449
1613084446,1452,1452
1613093338,1453,1453
1613097698,1456,1456
1613104487,1457,1457
1613113470,1458,1458
1613117840,1459,1459
1613122397,1464,1464
1613140286,1466,1466
1613149027,1467,1467
1613157782,1469,1469
1613170248,1470,1470
1613200495,1471,1471
1613213556,1472,1472
1613217908,1474,1474
1613229018,1475,1475
1613237699,1477,1477
1613246632,1478,1478
1613255626,1507,1507
1613260041,1509,1509
1613264496,1511,1511
1613273554,1514,1514
1613287272,1518,1518
1613301026,1519,1519
1613309933,1520,1520
1613327621,1521,1521
1613345144,1526,1526
1613354004,1528,1528
1613362891,1529,1529
1613367551,1530,1530
1613372033,1532,1532
1613385142,1534,1534
1613389909,1536,1536
1613405705,1537,1537
1613414730,1538,1538
1613419210,1539,1539
1613432706,1540,1540
1613437140,1541,1541
1613459508,1575,1575
1613464062,1577,1577
1613468662,1581,1581
1613473631,1582,1582
1613489435,1583,1583
1613498563,1585,1585
1613503417,1587,1587
1613514672,1588,1588
1613518901,1589,1589
1613523468,1591,1591
1613528026,1592,1592
1613532604,1594,1594
1613541610,1595,1595
1613546178,1596,1596
1613555309,1597,1597
1613573217,1599,1599
1613582320,1602,1602
1613587156,1604,1604
1613598264,1605,1605
1613602643,1606,1606
1613619498,1613,1613
1613628297,1620,1620
1613632754,1621,1621
1613637153,1622,1622
1613645841,1625,1625
1613663258,1626,1626
1613704537,1378,1378
1613752613,1314,1314
1613761004,1318,1318
1613779898,1322,1322
1613796399,1324,1324
