DateTime,AddedIPs,RemovedIPs
1611883982,3,0
1611898381,4,0
1611901981,1,0
1611905581,1,0
1611912781,1,0
1611916382,2,0
1611919981,1,0
1611923581,4,0
1611927182,1,0
1611930781,4,0
1611941581,1,0
1611959581,1,0
1611963182,1,0
1611970381,1,0
1611984782,2,0
1611988381,1,0
1611991981,1,0
1611995582,1,0
1612006382,3,0
1612017181,1,0
1612020781,3,0
1612024382,1,0
1612027982,2,0
1612031581,1,0
1612035182,1,0
1612051275,3,0
1612064461,1,0
1612077131,1,0
1612091414,1,0
1612107182,1,0
1612114381,1,0
1612117982,1,0
1612125181,1,0
1612128781,1,0
1612150381,1,0
1612161181,1,0
1612164782,1,0
1612182781,1,0
1612189981,4,0
1612193581,1,0
1612211581,1,0
1612222381,1,0
1612236781,1,0
1612243982,1,0
1612247581,1,0
1612251182,1,0
1612254781,1,0
1612261981,1,0
1612265581,1,0
1612269181,2,0
1612276381,1,0
1612287182,1,0
1612294381,1,0
1612312381,1,0
1612323182,1,0
1612333982,2,0
1612341181,3,0
1612344782,1,0
1612373581,2,0
1612377181,1,0
1612420381,1,0
1612431181,1,0
1612434781,1,0
1612438381,2,0
1612445581,2,0
1612449181,1,0
1612452782,1,0
1612456382,1,0
1612481581,1,0
1612492381,1,0
1612499581,1,0
1612510381,1,0
1612517582,2,0
1612557181,1,0
1612575181,1,0
1612603981,1,0
1612636381,2,0
1612639981,1,0
1612647182,1,0
1612672381,1,0
1612675981,1,0
1612679582,1,0
1612697581,1,0
1612726381,1,0
1612744381,5,0
1612747981,1,0
1612755181,1,0
1612780381,2,0
1612783981,1,0
1612787582,1,0
1612794781,1,0
1612798381,1,0
1612805581,1,0
1612812781,1,0
1612823581,1,0
1612848782,1,0
1612877581,1,0
1612891982,1,0
1612971181,1,0
1612981982,1,0
1612985581,1,0
1612989181,2,0
1612996382,1,0
1613007182,1,0
1613035981,1,0
1613046782,1,0
1613061181,1,0
1613064781,3,0
1613082782,1,0
1613107981,1,0
1613161981,1,0
1613165581,2,0
1613176381,1,0
1613230382,1,0
1613298782,1,0
1613323982,4,0
1613327581,5,0
1613334781,1,0
1613338382,1,0
1613349182,1,0
1613421182,1,0
1613428382,1,0
1613493181,1,0
1613550781,1,11
1613554382,0,5
1613557981,0,2
1613561582,0,3
1613568782,1,6
1613572382,1,2
1613579581,0,1
1613583181,1,4
1613586781,0,2
1613590381,0,1
1613597581,0,1
1613601181,1,0
1613604781,1,0
1613608381,0,2
1613619182,0,1
1613622781,1,0
1613626381,1,0
1613633582,0,1
1613640781,0,2
1613647981,0,1
1613655182,0,1
1613658781,0,1
1613662381,0,1
1613665982,1,0
1613669582,0,1
1613680382,1,0
1613683981,1,0
1613701981,0,4
1613716381,0,1
1613719981,2,0
1613727181,0,1
1613734382,1,6
1613745182,1,0
1613748782,1,0
1613752381,0,1
1613755981,0,1
1613763181,1,0
1613770382,0,1
1613773981,1,1
1613777581,0,1
1613781181,1,0
1613784782,0,1
1613788381,0,2
1613795581,0,2
1613799182,0,1
1613809981,1,1
1613817181,0,3
1613824381,1,0
1613835181,1,0
1613838781,1,0
1613842381,1,0
1613845981,0,2
1613874782,1,0
1613878381,0,1
1613881981,0,2
1613889182,0,1
1613896381,0,1
1613903581,1,3
1613907181,1,1
1613914381,0,5
1613921581,1,1
1613928782,1,3
1613932381,0,3
1613935981,0,1
1613946781,0,1
1613957581,0,1
1613961181,0,1
1613968381,0,1
1613982781,1,1
1613993581,1,0
1614004381,0,1
1614011582,2,1
1614018781,0,5
1614025982,1,0
1614029581,1,1
1614033181,0,1
1614051181,1,0
1614054782,1,1
1614058381,0,1
1614061981,1,1
1614069182,0,2
1614076381,1,0
1614087181,1,1
1614090781,3,0
1614097981,1,2
1614101581,0,1
1614105181,0,3
1614108782,0,2
1614115982,1,3
1614119581,1,0
1614123182,0,1
1614126782,1,0
1614130381,0,1
1614133981,1,0
1614144781,0,2
1614148382,2,1
1614151982,1,4
1614155581,1,0
1614162781,2,2
1614166382,2,1
1614169981,1,3
1614180782,1,3
1614187981,2,2
1614209582,1,0
1614213182,0,3
1614216781,0,1
1614227582,0,1
1614241981,1,0
1614249181,0,1
1614256382,1,1
1614263581,0,1
1614267181,0,1
1614270781,1,3
1614274381,0,2
1614277982,6,0
1614281581,1,2
1614285181,2,0
1614288781,1,1
1614292382,1,0
1614295981,1,0
1614299581,2,1
1614303182,0,1
1614310381,1,0
1614313982,1,0
1614317581,0,1
1614321182,1,0
1614324781,0,1
1614328382,0,4
1614335581,1,0
1614339181,0,2
1614349981,1,0
1614353581,0,1
1614357183,3,0
1614360782,1,0
1614364381,0,1
1614367981,1,0
1614375181,0,1
1614378782,2,1
1614400381,0,1
1614403981,1,0
1614407581,0,4
1614411181,0,1
1614418383,4,0
1614421982,2,2
1614425581,3,0
1614429181,2,0
1614432781,3,0
1614436381,2,0
1614439981,0,2
1614443583,2,1
1614450781,1,2
1614457982,0,1
1614461582,1,0
1614465182,1,0
1614468781,1,1
1614472382,5,0
1614479581,2,0
1614486781,1,0
1614490381,2,1
1614501181,0,1
1614504782,3,2
1614508382,2,2
1614511981,2,0
1614515581,0,3
1614519181,1,1
1614522781,1,0
1614526381,0,1
1614555182,1,0
1614569581,1,0
1614580381,1,0
1614583981,1,0
1614587582,0,1
1614591181,1,1
1614605581,1,0
1614609182,1,0
1614612781,2,0
1614619981,0,2
1614623581,1,0
1614627182,1,0
1614634381,1,1
1614641581,1,0
1614655981,0,1
1614659581,1,1
1614663181,1,0
1614670381,1,0
1614681182,1,0
1614688382,0,2
1614691982,0,1
1614695581,2,1
1614699181,2,1
1614702785,0,1
